GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0030198	extracellular matrix organization	7.665226505359429e-33	7.665226505359429e-33	+1	COL3A1,POSTN,ELN,ADAMTS12,ADAMTS4,AGT,VTN,NPNT,MFAP4,COL4A3,GFOD2,COL28A1,COL4A5,MMP17,ADAMTS15,COL1A1,ADAMTS9,ADAMTS16,OLFML2B,COL1A2,COL4A1,COL5A2,ADAMTS14,ADAMTS7,COL4A4,CHADL,KAZALD1,LUM,ECM2,LAMB1,QSOX1,MMP2,DAG1
GO:0045229	external encapsulating structure organization	8.580381980260638e-33	8.580381980260638e-33	+1	COL3A1,POSTN,ELN,ADAMTS12,ADAMTS4,AGT,VTN,NPNT,MFAP4,COL4A3,GFOD2,COL28A1,COL4A5,MMP17,ADAMTS15,COL1A1,ADAMTS9,ADAMTS16,OLFML2B,COL1A2,COL4A1,COL5A2,ADAMTS14,ADAMTS7,COL4A4,CHADL,KAZALD1,LUM,ECM2,LAMB1,QSOX1,MMP2,DAG1
GO:0043062	extracellular structure organization	9.600882738200993e-33	9.600882738200993e-33	+1	COL3A1,POSTN,ELN,ADAMTS12,ADAMTS4,AGT,VTN,NPNT,MFAP4,COL4A3,GFOD2,COL28A1,COL4A5,MMP17,ADAMTS15,COL1A1,ADAMTS9,ADAMTS16,OLFML2B,COL1A2,COL4A1,COL5A2,ADAMTS14,ADAMTS7,COL4A4,CHADL,KAZALD1,LUM,ECM2,LAMB1,QSOX1,MMP2,DAG1
GO:2000145	regulation of cell motility	6.704342493566096e-20	6.704342493566096e-20	+1	ANGPT1,ANGPT4,COL3A1,PTN,POSTN,AGT,VTN,RETN,INSL3,TRF,TAFA5,KDR,TNC,BMPER,FGF10,COL1A1,ADAMTS9,PODN,IGF2,IGF1,EGFL7,VEGFA,PCSK5,ADGRG1,ADIPOQ,LAMA5,MMRN2,PDGFB,LAMB1,ENPP2,LAMA4,VEGFB,MMP2,EFNA1,CXCL12,C1QBP,DAG1
GO:0030334	regulation of cell migration	1.0066814714757931e-19	1.0066814714757931e-19	+1	ANGPT1,ANGPT4,COL3A1,PTN,POSTN,AGT,VTN,RETN,INSL3,TAFA5,KDR,TNC,BMPER,FGF10,COL1A1,ADAMTS9,PODN,IGF2,IGF1,EGFL7,VEGFA,PCSK5,ADGRG1,ADIPOQ,LAMA5,MMRN2,PDGFB,LAMB1,ENPP2,LAMA4,VEGFB,MMP2,EFNA1,CXCL12,C1QBP,DAG1
GO:0040012	regulation of locomotion	3.250959542462297e-19	3.250959542462297e-19	+1	ANGPT1,ANGPT4,COL3A1,PTN,POSTN,AGT,VTN,RETN,INSL3,TRF,TAFA5,KDR,TNC,BMPER,FGF10,COL1A1,ADAMTS9,PODN,IGF2,IGF1,EGFL7,VEGFA,PCSK5,ADGRG1,ADIPOQ,LAMA5,MMRN2,PDGFB,LAMB1,ENPP2,LAMA4,VEGFB,MMP2,EFNA1,CXCL12,C1QBP,DAG1
GO:0051239	regulation of multicellular organismal process	3.807721031842974e-17	3.807721031842974e-17	+1	ANGPT1,PTGDS,LIPG,ANGPT4,REN1,PTN,POSTN,ADAMTS12,AGT,VTN,NPNT,RETN,APOC1,INSL3,COL4A3,TRF,TFPI,IL15RA,TAFA5,KDR,BMPER,FGF10,IL17RB,PRXL2A,COL1A1,ADAMTS9,FGFBP3,IGF2,FABP5,IGF1,THPO,ASPN,VEGFA,ADAMTS7,CPE,CHADL,ADIPOQ,LUM,LAMA5,RNLS,ZBED3,MMRN2,FGL2,LPL,PDGFB,ENPP2,PI16,LAMA4,VEGFB,MMP2,EFNA1,CXCL12,C1QBP,DAG1,NAXE
GO:0001944	vasculature development	7.910883597499965e-17	7.910883597499965e-17	+1	ANGPT1,ANGPT4,COL3A1,PTN,AGT,RSPO3,COL4A3,TAFA5,KDR,BMPER,FGF10,COL1A1,ADAMTS9,IGF2,IGF1,COL1A2,EGFL7,VEGFA,COL4A1,PCSK5,ADGRG1,MMRN2,PDGFB,ENPP2,LAMA4,VEGFB,MMP2,EFNA1,CXCL12,DAG1,NAXE
GO:0001568	blood vessel development	2.606591087111672e-16	2.606591087111672e-16	+1	ANGPT1,ANGPT4,COL3A1,PTN,AGT,RSPO3,COL4A3,TAFA5,KDR,BMPER,FGF10,COL1A1,ADAMTS9,IGF2,COL1A2,EGFL7,VEGFA,COL4A1,PCSK5,ADGRG1,MMRN2,PDGFB,ENPP2,LAMA4,VEGFB,MMP2,EFNA1,CXCL12,DAG1,NAXE
GO:0007155	cell adhesion	1.1104779432010816e-15	1.1104779432010816e-15	+1	ANGPT1,COL3A1,PTN,POSTN,ADAMTS12,VTN,NPNT,MFAP4,COL4A3,KDR,SPON1,COL28A1,TNC,MMRN1,COL1A1,ADAMTS9,IGF2,IGF1,EGFL7,VEGFA,PCSK5,ADGRG1,ADIPOQ,LAMA5,ECM2,SPARCL1,MMRN2,FGL2,PDGFB,LAMB1,ENPP2,IGFBP7,LAMA4,MMP2,EFNA1,CXCL12,C1QBP,DAG1
GO:0040011	locomotion	2.1266574852590574e-15	2.1266574852590574e-15	+1	ANGPT1,ANGPT4,COL3A1,PTN,POSTN,AGT,VTN,RETN,INSL3,TRF,TAFA5,KDR,TNC,BMPER,FGF10,COL1A1,ADAMTS9,PODN,IGF2,IGF1,EGFL7,VEGFA,PCSK5,ADGRG1,ADIPOQ,LAMA5,MMRN2,PDGFB,LAMB1,ENPP2,LAMA4,VEGFB,MMP2,EFNA1,CXCL12,C1QBP,DAG1
GO:0035239	tube morphogenesis	9.894664872251047e-15	9.894664872251047e-15	+1	ANGPT1,ANGPT4,COL3A1,PTN,ADAMTS12,AGT,RSPO3,NPNT,COL4A3,TAFA5,KDR,TNC,BMPER,FGF10,ADAMTS9,ADAMTS16,IGF2,IGF1,EGFL7,VEGFA,COL4A1,ADGRG1,LAMA5,MMRN2,ENPP2,VEGFB,MMP2,EFNA1,CXCL12,DAG1,NAXE
GO:0007166	cell surface receptor signaling pathway	2.0736486509881537e-14	2.0736486509881537e-14	+1	ANGPT1,ANGPT4,COL3A1,CFD,MASP1,PTN,POSTN,ADAMTS12,GREM2,AGT,RSPO3,NPNT,COL4A3,TRF,IL15RA,KDR,BMPER,COL4A5,FGF10,IL17RB,COL1A1,NRG4,FGFBP3,IGF2,CPZ,C1QTNF12,IGF1,THPO,CTF1,ASPN,COL1A2,EGFL7,VEGFA,COL4A1,ADAMTS14,PCSK5,ADGRG1,CPE,HP,ADIPOQ,LAMA5,ZBED3,MMRN2,PDGFB,LAMB1,VEGFB,EFNA1,CXCL12,YBX1
GO:0072359	circulatory system development	2.7026509692223504e-14	2.7026509692223504e-14	+1	ANGPT1,ANGPT4,COL3A1,PTN,ELN,AGT,RSPO3,COL4A3,TAFA5,KDR,BMPER,FGF10,COL1A1,ADAMTS9,IGF2,IGF1,COL1A2,EGFL7,VEGFA,COL4A1,PCSK5,ADGRG1,CPE,MMRN2,PDGFB,ENPP2,PI16,LAMA4,VEGFB,MMP2,EFNA1,CXCL12,DAG1,NAXE
GO:0016477	cell migration	6.767044018664087e-14	6.767044018664087e-14	+1	ANGPT1,ANGPT4,COL3A1,PTN,POSTN,ADAMTS12,AGT,VTN,RETN,INSL3,TAFA5,KDR,TNC,BMPER,FGF10,COL1A1,ADAMTS9,PODN,IGF2,IGF1,EGFL7,VEGFA,PCSK5,ADGRG1,ADIPOQ,LAMA5,MMRN2,PDGFB,LAMB1,ENPP2,LAMA4,VEGFB,MMP2,EFNA1,CXCL12,C1QBP,DAG1
GO:0007167	enzyme-linked receptor protein signaling pathway	8.003000780423388e-14	8.003000780423388e-14	+1	ANGPT1,ANGPT4,COL3A1,ADAMTS12,GREM2,AGT,NPNT,COL4A3,TRF,KDR,BMPER,COL4A5,FGF10,COL1A1,NRG4,FGFBP3,IGF2,C1QTNF12,IGF1,CTF1,ASPN,COL1A2,VEGFA,COL4A1,ADIPOQ,MMRN2,PDGFB,VEGFB,EFNA1,YBX1
GO:0009653	anatomical structure morphogenesis	1.8275540436205168e-13	1.8275540436205168e-13	+1	ANGPT1,ANGPT4,COL3A1,PTN,POSTN,ELN,ADAMTS12,GREM2,AGT,VTN,RSPO3,NPNT,COL4A3,TAFA5,KDR,CAP2,TNC,BMPER,FGF10,ADAMTS15,ACRBP,COL1A1,ADAMTS9,ADAMTS16,IGF2,IGF1,ASPN,COL1A2,EGFL7,FJX1,VEGFA,COL4A1,COL5A2,PCSK5,ADGRG1,CPE,ADIPOQ,LAMA5,MMRN2,LAMB1,ENPP2,VEGFB,MMP2,EFNA1,CXCL12,YBX1,C1QBP,DAG1,NAXE
GO:0001525	angiogenesis	3.1894384122364677e-13	3.1894384122364677e-13	+1	ANGPT1,ANGPT4,PTN,AGT,RSPO3,COL4A3,TAFA5,KDR,BMPER,FGF10,ADAMTS9,IGF2,EGFL7,VEGFA,COL4A1,ADGRG1,MMRN2,ENPP2,VEGFB,MMP2,EFNA1,CXCL12,DAG1,NAXE
GO:0048870	cell motility	4.461901764875253e-13	4.461901764875253e-13	+1	ANGPT1,ANGPT4,COL3A1,PTN,POSTN,ADAMTS12,AGT,VTN,RETN,INSL3,TRF,TAFA5,KDR,TNC,BMPER,FGF10,COL1A1,ADAMTS9,PODN,IGF2,IGF1,EGFL7,VEGFA,PCSK5,ADGRG1,ADIPOQ,LAMA5,MMRN2,PDGFB,LAMB1,ENPP2,LAMA4,VEGFB,MMP2,EFNA1,CXCL12,C1QBP,DAG1
GO:0030155	regulation of cell adhesion	4.4628886012384555e-13	4.4628886012384555e-13	+1	ANGPT1,PTN,POSTN,VTN,NPNT,KDR,TNC,MMRN1,COL1A1,IGF2,IGF1,VEGFA,PCSK5,ADGRG1,ADIPOQ,LAMA5,ECM2,FGL2,PDGFB,LAMB1,ENPP2,LAMA4,MMP2,EFNA1,CXCL12,C1QBP,DAG1
GO:0007275	multicellular organism development	7.275617111083237e-13	7.275617111083237e-13	+1	ANGPT1,ANGPT4,COL3A1,REN1,PTN,POSTN,ELN,ADAMTS12,GREM2,AGT,VTN,RSPO3,NPNT,RETN,INSL3,COL4A3,TRF,IL15RA,TAFA5,KDR,TNC,BMPER,FGF10,MMP17,PRXL2A,COL1A1,ADAMTS9,NRG4,ADAMTS16,IGF2,IGF1,THPO,CTF1,ASPN,COL1A2,EGFL7,FJX1,VEGFA,COL4A1,COL5A2,ADAMTS7,PCSK5,COL4A4,ADGRG1,CPE,CHADL,HP,ADIPOQ,LAMA5,ZBED3,MMRN2,FGL2,PDGFB,LAMB1,ENPP2,PI16,LAMA4,VEGFB,MMP2,EFNA1,CXCL12,YBX1,C1QBP,DAG1
GO:0031589	cell-substrate adhesion	9.681881787180584e-13	9.681881787180584e-13	+1	ANGPT1,COL3A1,PTN,POSTN,ADAMTS12,VTN,NPNT,KDR,COL1A1,ADAMTS9,VEGFA,PCSK5,LAMA5,ECM2,PDGFB,LAMB1,ENPP2,EFNA1,C1QBP,DAG1
GO:0035295	tube development	9.94892741602831e-13	9.94892741602831e-13	+1	ANGPT1,ANGPT4,COL3A1,PTN,ADAMTS12,AGT,RSPO3,NPNT,COL4A3,TAFA5,KDR,TNC,BMPER,FGF10,ADAMTS9,ADAMTS16,IGF2,IGF1,EGFL7,VEGFA,COL4A1,PCSK5,ADGRG1,LAMA5,MMRN2,ENPP2,VEGFB,MMP2,EFNA1,CXCL12,DAG1,NAXE
