"EnrichmentMap::Colouring (gat_u_en)","EnrichmentMap::ES (gat_u_en)","EnrichmentMap::fdr_qvalue (gat_u_en)","EnrichmentMap::fwer_qvalue (gat_u_en)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (gat_u_en)","EnrichmentMap::pvalue (gat_u_en)","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"0.9999999999999818",,"1.8233107173320725E-14",,"SMOC2|DCN|HPSE|IL10|LEP|CMA1|CCL2|SERPINE1|EMILIN2|TNF|THBS4|CD40|CHIL1|CCL5|CCL24|FGF18|NINJ1|CCBE1|ADM|FGF1|CCL11|GRN|C3|SEMA3E|VEGFD|ECM1","REGULATION OF VASCULATURE DEVELOPMENT","26","ENR","GO:1901342","1.0","1.8233107173320725E-14","Cluster 2","Clustered","77.85861358956761","GO:1901342","false","GO:1901342"
"0.9999999616105465",,"3.8389453546632067E-8",,"LGALS9|DNASE1L3|TGFB1|TREM2|LBP|IL10|MILR1|IL6RA|TMEM98|CHGA|IL33|IL18|CCL3|HAVCR2|GRN|CLCF1|IL12B|ANXA1|CD40|TNFSF13","LEUKOCYTE ACTIVATION INVOLVED IN IMMUNE RESPONSE","20","ENR","GO:0002366","1.0","3.8389453546632067E-8","Cluster 1","Clustered","86.47960199004976","GO:0002366","false","GO:0002366"
"0.9999992450727372",,"7.549272628175553E-7",,"LGALS9|TGFB1|CXCL13|CCL5|TREM2|LBP|B2M|IL10|CXCL2|CXCL1|ADAMTS13|SLPI|LY86|CCL2|ADM|IL18|CCL3|HAVCR2|SERPINE1|CNP|IL12B|TNF","RESPONSE TO MOLECULE OF BACTERIAL ORIGIN","22","ENR","GO:0002237","1.0","7.549272628175553E-7","Cluster 2","Clustered","77.95098039215686","GO:0002237","false","GO:0002237"
"1.0",,"4.363969941743847E-19",,"SERPINE2|BMP4|CCL8|SMOC2|TREM2|DCN|HPSE|B2M|IL10|LEP|CCL7|CMA1|CCL2|CCL3|FLRT2|FLRT3|SERPINE1|TNFRSF11B|CLCF1|SRPX2|IL12B|TNF|ANXA1|EFEMP1|TNFSF11|CD40|NTN4|CHIL1|CCL5|CCL24|BMP2|CSF1|NINJ1|TMEM98|METRNL|CCN3|METRN|TG|OLFM1|IL33|IL18|EFEMP2|CCL11|GRN|C3|RARRES2|ECM1|LGALS9|TGFB1|SFRP5|FGF23|GDF3|BDNF|TLL2|VWC2|SFRP4|GPC1|SLIT1|EDN3|FSTL3|EMILIN2|FGF9|THBS4|TNR|WNT11|TNFSF13|WNT5B|MYOC|ENPP1|FGF18|C1QC|ST6GAL1|CCN1|CCBE1|ADM|FGF1|WNT9A|IL7|SEMA3E|VEGFD|SEMA3C","REGULATION OF DEVELOPMENTAL PROCESS","81","ENR","GO:0050793","1.0","4.363969941743847E-19","Cluster 1","Clustered","91.48493543758967","GO:0050793","false","GO:0050793"
"1.0",,"4.778834205930728E-41",,"CD5L|CXCL13|CCL8|TREM2|MEP1B|SAA3|HPSE|IL10|CXCL2|OSM|CXCL1|KNG2|LEP|CCL7|CMA1|PLA2G2D|CTSS|CCL2|IL1RN|CCL3|AOAH|HAVCR2|SERPINE1|CCL4|IL17RE|CLCF1|IL12B|TNF|ANXA1|TNFSF11|CD40|CHIL1|DNASE1L3|CCL5|CCL24|C1QA|BMP2|LBP|CSF1|C4B|NINJ1|METRNL|SMPDL3B|IGFBP4|TSLP|CCN3|LY86|CASP4|EPHB6|IL33|IL18|CCL6|CD163|CCL11|GRN|C3|SERPINB1A|CFH|IL16|GSDMD|PLA2G7|RARRES2|ECM1|LGALS9|TGFB1","INFLAMMATORY RESPONSE","65","ENR","GO:0006954","1.0","4.778834205930728E-41","Cluster 2","Clustered","81.89699328353524","GO:0006954","false","GO:0006954"
"0.9999999949971531",,"5.002846929182072E-9",,"CD5L|CXCL13|CCL8|TREM2|SAA3|HPSE|IL10|CXCL2|OSM|CXCL1|KNG2|LEP|CCL7|PLA2G2D|CTSS|CCL2|IL1RN|CCL3|HAVCR2|SERPINE1|CCL4|IL17RE|CLCF1|IL12B|TNF|ANXA1|TNFSF11|CD40|CHIL1|DNASE1L3|CCL5|CCL24|C1QA|BMP2|LBP|CSF1|NINJ1|METRNL|SMPDL3B|IGFBP4|TSLP|CCN3|LY86|CASP4|EPHB6|IL33|IL18|CCL6|CCL11|GRN|C3|CFH|IL16|PLA2G7|RARRES2|ECM1|LGALS9|TGFB1|MZB1|SFRP5|FGF23|MMP12|F7|GDF3|PIGR|BDNF|FGF21|BMP3|FCNA|CCK|IL9R|WFIKKN2|VWC2|SFRP4|CHGA|GPC1|F10|SLIT1|INS2|EDN3|FSTL3|EMILIN2|FGF9|ENHO|THBS4|TNR|WNT11|TNFSF13|WNT5B|MYOC|TGFA|ENPP1|FGF18|C1QC|LGALS3|LEFTY1|ST6GAL1|CCN1|CD48|PLA2R1|CILP|DPP4|S100A4|CCBE1|ADM|FGF1|PLAU|WNT9A|INHBB|IL7|PDGFC|CFP|SEMA3E|PROS1|C1QTNF1|VEGFD|SEMA3C|SERPINE2|EDA|BMP4|SMOC2|DCN|CD9|PLAT|B2M|IL6RA|SLIT3|PSAP|ANG|FLRT2|FLRT3|TNFRSF11B|CTSL|SRPX2|SVEP1|EFEMP1|SERPINB2|CRYAB|MILR1|TMEM98|EBI3|TIMP4|IFI30|NMU|METRN|TG|OLFM1|MFGE8|CDSN|EFEMP2|PNOC|RLN3|OLFML2A|TUFT1|COL16A1|SPOCK2|CDNF|FIBIN|CTSB|ASAH1|COL26A1|FBLN2|TNXB|VIT|HTRA4|CTSD|PM20D1|AEBP1|CREG1","REGULATION OF CELLULAR PROCESS","169","ENR","GO:0050794","1.0","5.002846929182072E-9","Cluster 1","Clustered","89.91729428172943","GO:0050794","false","GO:0050794"
"0.9999999999918682",,"8.131792855071669E-12",,"TGFB1|BMP4|MMP12|B2M|IL10|LEP|CCL2|ANG|CTSL|FGF9|IL12B|TNF|THBS4|TNFSF11|CCL5|TGFA|CCL24|FGF18|BMP2|IGFBP4|CCN3|IL18|FGF1|PLAU|CCL11|GRN|SERPINB1A|VEGFD|ECM1","EPITHELIAL CELL PROLIFERATION","29","ENR","GO:0050673","1.0","8.131792855071669E-12","Cluster 1","Clustered","102.411568705851","GO:0050673","false","GO:0050673"
"1.0",,"2.2497881363148355E-30",,"CD5L|EDA|CXCL13|CCL8|TREM2|B2M|IL10|IL6RA|CXCL2|OSM|JCHAIN|CXCL1|BPIFB3|KNG2|LEP|ADAMTS13|CCL7|SLPI|RNASE6|PLA2G2D|CTSS|CCL2|ANG|IL1RN|ENDOD1|CCL3|HAVCR2|CCL4|CTSL|CLCF1|IL12B|TNF|ANXA1|TNFSF11|CD40|DNASE1L3|CCL5|CCL24|C1QA|LBP|PRG4|CSF1|C4B|MILR1|NINJ1|TMEM98|SMPDL3B|TSLP|LY86|CASP4|EPHB6|IL33|IL18|CCL6|CCL11|GRN|C3|SERPINB1A|CFH|GSDMD|RARRES2|ECM1|LGALS9|TGFB1|MMP12|PIGR|FCNA|IL9R|CHGA|TNFSF13|ENPP1|C1QC|LGALS3|CFB|C1QB|CD48|SERPING1|DPP4|ADM|IL7|CFP","IMMUNE RESPONSE","81","ENR","GO:0006955","1.0","2.2497881363148355E-30","Cluster 1","Clustered","97.87860696517413","GO:0006955","false","GO:0006955"
"0.9999986002962051",,"1.399703794856325E-6",,"LGALS9|TGFB1|MZB1|CCL5|BMP4|LGALS3|IL10|LEP|PLA2G2D|IL18|HAVCR2|IL7|CLCF1|IL12B|ANXA1|CD40","REGULATION OF LYMPHOCYTE PROLIFERATION","16","ENR","GO:0050670","1.0","1.399703794856325E-6","Cluster 1","Clustered","94.16179304566401","GO:0050670","false","GO:0050670"
"0.9999999482802562",,"5.17197437830838E-8",,"CXCL13|CCL2|CCL5|CCL8|CCL24|CCL3|CCL6|CCL11|CCL4|CCL7","LYMPHOCYTE CHEMOTAXIS","10","ENR","GO:0048247","1.0","5.17197437830838E-8","Cluster 2","Clustered","73.12995944277905","GO:0048247","false","GO:0048247"
