GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0006954	inflammatory response	4.778834205930728e-41	4.778834205930728e-41	+1	CD5L,CXCL13,CCL8,TREM2,MEP1B,SAA3,HPSE,IL10,CXCL2,OSM,CXCL1,KNG2,LEP,CCL7,CMA1,PLA2G2D,CTSS,CCL2,IL1RN,CCL3,AOAH,HAVCR2,SERPINE1,CCL4,IL17RE,CLCF1,IL12B,TNF,ANXA1,TNFSF11,CD40,CHIL1,DNASE1L3,CCL5,CCL24,C1QA,BMP2,LBP,CSF1,C4B,NINJ1,METRNL,SMPDL3B,IGFBP4,TSLP,CCN3,LY86,CASP4,EPHB6,IL33,IL18,CCL6,CD163,CCL11,GRN,C3,SERPINB1A,CFH,IL16,GSDMD,PLA2G7,RARRES2,ECM1,LGALS9,TGFB1
GO:0048583	regulation of response to stimulus	5.218888664695931e-41	5.218888664695931e-41	+1	MZB1,SFRP5,FGF23,MMP12,CD5L,CXCL13,CCL8,TREM2,F7,GDF3,HPSE,PIGR,IL10,OSM,BDNF,FGF21,BMP3,CXCL1,KNG2,LEP,FCNA,CCK,IL9R,CCL7,CMA1,PLA2G2D,WFIKKN2,VWC2,SFRP4,CTSS,CHGA,CCL2,IL1RN,GPC1,CCL3,F10,AOAH,HAVCR2,SERPINE1,CCL4,CLCF1,SLIT1,IL12B,INS2,EDN3,TNF,FSTL3,ANXA1,EMILIN2,FGF9,TNFSF11,CD40,ENHO,THBS4,TNR,WNT11,TNFSF13,CHIL1,WNT5B,DNASE1L3,CCL5,MYOC,TGFA,ENPP1,FGF18,C1QC,LGALS3,CFB,LEFTY1,CCL24,C1QA,C1QB,BMP2,ST6GAL1,CCN1,LBP,CSF1,C4B,NINJ1,CD48,SERPING1,PLA2R1,CILP,METRNL,DPP4,S100A4,CCBE1,ADM,SMPDL3B,IGFBP4,FGF1,TSLP,PLAU,WNT9A,CCN3,INHBB,LY86,CASP4,IL7,PDGFC,CFP,IL33,IL18,SEMA3E,CCL6,CCL11,GRN,PROS1,C1QTNF1,VEGFD,SEMA3C,C3,SERPINB1A,CFH,IL16,SERPINE2,EDA,BMP4,SMOC2,PLA2G7,RARRES2,DCN,CD9,PLAT,B2M,ECM1,IL6RA,SLIT3,LGALS9,PSAP,TGFB1
GO:0048584	positive regulation of response to stimulus	7.5406730442117e-40	7.5406730442117e-40	+1	FGF23,MMP12,CD5L,CXCL13,CCL8,TREM2,F7,GDF3,HPSE,IL10,OSM,BDNF,FGF21,BMP3,CXCL1,LEP,FCNA,CCK,CCL7,SFRP4,CTSS,CHGA,CCL2,IL1RN,CCL3,F10,HAVCR2,SERPINE1,CCL4,CLCF1,IL12B,INS2,EDN3,TNF,ANXA1,EMILIN2,FGF9,TNFSF11,CD40,ENHO,THBS4,WNT11,TNFSF13,CHIL1,WNT5B,CCL5,MYOC,TGFA,FGF18,C1QC,CFB,LEFTY1,CCL24,C1QA,C1QB,BMP2,CCN1,LBP,CSF1,C4B,NINJ1,SERPING1,PLA2R1,DPP4,S100A4,CCBE1,IGFBP4,FGF1,TSLP,PLAU,WNT9A,CCN3,INHBB,LY86,CASP4,IL7,PDGFC,CFP,IL33,IL18,SEMA3E,CCL6,CCL11,GRN,C1QTNF1,VEGFD,C3,CFH,IL16,EDA,BMP4,SMOC2,PLA2G7,RARRES2,DCN,PLAT,B2M,IL6RA,LGALS9,PSAP,TGFB1
GO:0032101	regulation of response to external stimulus	1.6501863062599796e-38	1.6501863062599796e-38	+1	MMP12,CXCL13,TREM2,F7,HPSE,IL10,OSM,CXCL1,KNG2,LEP,FCNA,CCK,CCL7,CMA1,PLA2G2D,CTSS,CCL2,CCL3,AOAH,HAVCR2,SERPINE1,CLCF1,SLIT1,IL12B,EDN3,TNF,ANXA1,EMILIN2,TNFSF11,THBS4,TNR,DNASE1L3,CCL5,FGF18,CCL24,ST6GAL1,LBP,CSF1,NINJ1,SERPING1,METRNL,DPP4,SMPDL3B,FGF1,TSLP,PLAU,CCN3,LY86,CASP4,IL33,IL18,SEMA3E,GRN,PROS1,C1QTNF1,VEGFD,SEMA3C,C3,SERPINB1A,CFH,IL16,SERPINE2,SMOC2,PLA2G7,RARRES2,CD9,PLAT,LGALS9,TGFB1
GO:0006952	defense response	1.6905032654357616e-38	1.6905032654357616e-38	+1	JCHAIN,MMP12,CD5L,CXCL13,CCL8,TREM2,MEP1B,SAA3,BPIFB3,HPSE,IL10,CXCL2,OSM,BDNF,CXCL1,KNG2,LEP,FCNA,CCK,ADAMTS13,CCL7,CMA1,PLA2G2D,CTSS,CHGA,CCL2,IL1RN,CCL3,SLPI,AOAH,HAVCR2,SERPINE1,CCL4,IL17RE,CLCF1,IL12B,TNF,ANXA1,EMILIN2,TNFSF11,CD40,RNASE6,CHIL1,DNASE1L3,CCL5,LYZ2,ADAMTS5,C1QC,LGALS3,CFB,CCL24,C1QA,C1QB,BMP2,LBP,CSF1,C4B,NINJ1,SERPING1,METRNL,DPP4,ADM,SMPDL3B,IGFBP4,TSLP,CCN3,LY86,ANG,CASP4,EPHB6,CFP,IL33,IL18,CCL6,CD163,CCL11,GRN,C3,SERPINB1A,CFH,IL16,GSDMD,PLA2G7,RARRES2,ENDOD1,B2M,ECM1,LGALS9,TGFB1
GO:0009605	response to external stimulus	2.05126533073457e-38	2.05126533073457e-38	+1	JCHAIN,FGF23,MMP12,CXCL13,CCL8,TREM2,F7,SAA3,BPIFB3,GDF3,HPSE,IL10,CXCL2,OSM,BDNF,CXCL1,KNG2,LEP,FCNA,CCK,ADAMTS13,CCL7,CMA1,PLA2G2D,CTSS,CHGA,CCL2,CCL3,SLPI,AOAH,HAVCR2,SERPINE1,CCL4,CLCF1,SLIT1,IL12B,EDN3,TNF,ANXA1,EMILIN2,TNFSF11,CD40,THBS4,TNR,RNASE6,WNT11,CHIL1,DNASE1L3,CCL5,LYZ2,ADAMTS5,FGF18,C1QC,LGALS3,FLRT2,CFB,CCL24,C1QA,C1QB,BMP2,ST6GAL1,CCN1,LBP,CSF1,C4B,NINJ1,SERPING1,FUCA2,METRNL,DPP4,ADM,SMPDL3B,FGF1,TSLP,PLAU,CCN3,INHBB,LY86,ANG,CASP4,EPHB6,CFP,IL33,FLRT3,IL18,SEMA3E,TNFRSF11B,CCL6,CCL11,GRN,PROS1,C1QTNF1,VEGFD,SEMA3C,C3,CNP,SERPINB1A,CFH,IL16,SERPINE2,GSDMD,BMP4,SMOC2,PLA2G7,RARRES2,ENDOD1,CD9,CTSL,PLAT,B2M,SLIT3,NPC2,LGALS9,TGFB1
GO:0016477	cell migration	2.109281423323377e-33	2.109281423323377e-33	+1	FGF23,MMP12,CXCL13,CCL8,TREM2,F7,SAA3,HPSE,CXCL2,FGF21,CXCL1,LEP,CCK,CCL7,CHGA,CCL2,IL1RN,GPC1,CCL3,SRPX2,SERPINE1,CCL4,SLIT1,IL12B,EDN3,TNF,ANXA1,EMILIN2,FGF9,TNFSF11,CD40,THBS4,TNR,WNT11,WNT5B,CCL5,MYOC,FGF18,LGALS3,FLRT2,LEFTY1,CCL24,BMP2,CCN1,LBP,CSF1,SVEP1,NINJ1,DPP4,CCBE1,EFEMP1,FGF1,PLAU,CCN3,ANG,LAMB3,PDGFC,IL33,FLRT3,IL18,SEMA3E,CCL6,NTN4,CCL11,GRN,VEGFD,SEMA3C,IL16,BMP4,SMOC2,PLA2G7,RARRES2,DCN,CD9,PLAT,ECM1,LGALS9,TGFB1
GO:0048870	cell motility	1.4016741607236725e-31	1.4016741607236725e-31	+1	FGF23,MMP12,CXCL13,CCL8,LY6K,TREM2,F7,SAA3,HPSE,CXCL2,FGF21,CXCL1,LEP,CCK,CCL7,CHGA,CCL2,IL1RN,GPC1,CCL3,SRPX2,SERPINE1,CCL4,SLIT1,IL12B,EDN3,TNF,ANXA1,EMILIN2,FGF9,TNFSF11,CD40,THBS4,TNR,WNT11,WNT5B,CCL5,MYOC,FGF18,PLTP,LGALS3,FLRT2,LEFTY1,CCL24,BMP2,CCN1,LBP,CSF1,SVEP1,NINJ1,DPP4,CCBE1,EFEMP1,FGF1,PLAU,CCN3,ANG,LAMB3,PDGFC,IL33,FLRT3,IL18,SEMA3E,CCL6,NTN4,CCL11,GRN,VEGFD,SEMA3C,IL16,BMP4,SMOC2,PLA2G7,RARRES2,DCN,CD9,PLAT,ECM1,LGALS9,TGFB1
GO:0006950	response to stress	3.5957515046864715e-31	3.5957515046864715e-31	+1	JCHAIN,MMP12,CD5L,CXCL13,CCL8,TREM2,MEP1B,F7,SAA3,BPIFB3,HPSE,IL10,CXCL2,OSM,BDNF,CXCL1,KNG2,LEP,FCNA,CCK,ADAMTS13,CCL7,CMA1,CLCA1,PLA2G2D,SFRP4,CTSS,CHGA,CCL2,IL1RN,SERPINB2,CCL3,F10,SLPI,AOAH,HAVCR2,SERPINE1,CCL4,IL17RE,CLCF1,IL12B,INS2,TNF,ANXA1,EMILIN2,TNFSF11,CD40,THBS4,PRELP,TNR,RNASE6,CHIL1,WNT5B,DNASE1L3,CCL5,LYZ2,F13A1,ADAMTS5,TGFA,C1QC,LGALS3,CFB,CCL24,C1QA,C1QB,BMP2,CCN1,LBP,CSF1,C4B,NINJ1,SERPING1,PLA2R1,METRNL,DPP4,ADM,SMPDL3B,IGFBP4,FGF1,TSLP,PLAU,CCN3,INHBB,LY86,ANG,CASP4,EPHB6,CFP,IL33,FLRT3,IL18,CCL6,CD163,CRYAB,CCL11,GRN,PROS1,C1QTNF1,VEGFD,C3,SERPINB1A,CFH,IL16,SERPINE2,GSDMD,BMP4,SMOC2,PLA2G7,RARRES2,ENDOD1,CD9,CTSL,PLAT,B2M,ECM1,IL6RA,LGALS9,PSAP,TGFB1
GO:0040011	locomotion	4.184250196484821e-31	4.184250196484821e-31	+1	FGF23,MMP12,CXCL13,CCL8,TREM2,F7,SAA3,HPSE,CXCL2,BDNF,FGF21,CXCL1,CCL7,CHGA,CCL2,IL1RN,CCL3,SRPX2,SERPINE1,CCL4,SLIT1,EDN3,TNF,ANXA1,EMILIN2,FGF9,TNFSF11,CD40,THBS4,TNR,WNT11,WNT5B,CCL5,MYOC,FGF18,LGALS3,FLRT2,CCL24,BMP2,ST6GAL1,CCN1,LBP,CSF1,NINJ1,DPP4,CCBE1,EFEMP1,FGF1,PLAU,CCN3,PDGFC,EPHB6,IL33,FLRT3,IL18,SEMA3E,CCL6,CCL11,GRN,VEGFD,SEMA3C,IL16,BMP4,SMOC2,PLA2G7,RARRES2,DCN,CD9,ECM1,SLIT3,LGALS9,TGFB1
GO:0006955	immune response	2.2497881363148355e-30	2.2497881363148355e-30	+1	JCHAIN,MMP12,CD5L,CXCL13,CCL8,TREM2,BPIFB3,PIGR,IL10,CXCL2,OSM,CXCL1,KNG2,LEP,FCNA,ADAMTS13,IL9R,CCL7,PLA2G2D,CTSS,CHGA,CCL2,IL1RN,CCL3,SLPI,HAVCR2,CCL4,CLCF1,IL12B,TNF,ANXA1,TNFSF11,CD40,RNASE6,PRG4,TNFSF13,DNASE1L3,CCL5,ENPP1,C1QC,LGALS3,CFB,CCL24,C1QA,C1QB,LBP,CSF1,C4B,NINJ1,CD48,SERPING1,DPP4,ADM,SMPDL3B,MILR1,TSLP,LY86,ANG,CASP4,IL7,EPHB6,CFP,IL33,IL18,CCL6,CCL11,GRN,C3,SERPINB1A,CFH,GSDMD,EDA,RARRES2,ENDOD1,CTSL,TMEM98,B2M,ECM1,IL6RA,LGALS9,TGFB1
GO:0007166	cell surface receptor signaling pathway	4.5513351086181327e-29	4.5513351086181327e-29	+1	MZB1,SFRP5,FGF23,MMP12,CXCL13,CCL8,TREM2,F7,GDF3,PIGR,IL10,CXCL2,OSM,BDNF,FGF21,BMP3,CXCL1,LEP,FCNA,IL9R,CCL7,WFIKKN2,VWC2,SFRP4,CCL2,IL1RN,GPC1,CCL3,SERPINE1,CCL4,IL17RE,CLCF1,IL12B,INS2,EDN3,TNF,FSTL3,ANXA1,FGF9,TNFSF11,CD40,EBI3,ENHO,TIMP4,WNT11,WNT5B,CCL5,MYOC,TGFA,ENPP1,FGF18,LGALS3,FLRT2,LEFTY1,CCL24,BMP2,CCN1,LBP,CSF1,SVEP1,CILP,CCBE1,EFEMP1,MILR1,IGFBP4,FGF1,TSLP,PLAU,WNT9A,CCN3,INHBB,LY86,CASP4,IL7,PDGFC,EPHB6,IL33,FLRT3,IL18,SEMA3E,CCL6,CCL11,VEGFD,SEMA3C,C3,SERPINE2,EDA,BMP4,SMOC2,RARRES2,DCN,PLAT,ECM1,IL6RA,SLIT3,LGALS9,TGFB1
GO:0002376	immune system process	5.623802828038278e-29	5.623802828038278e-29	+1	MZB1,JCHAIN,MMP12,CD5L,CXCL13,CCL8,TREM2,F7,BPIFB3,PIGR,IL10,CXCL2,OSM,CXCL1,KNG2,LEP,FCNA,ADAMTS13,IL9R,CCL7,PLA2G2D,CTSS,CHGA,CCL2,IL1RN,CCL3,SLPI,HAVCR2,SERPINE1,CCL4,CLCF1,IL12B,EDN3,TNF,FSTL3,ANXA1,TNFSF11,CD40,EBI3,THBS4,RNASE6,PRG4,TNFSF13,DNASE1L3,CCL5,ENPP1,C1QC,LGALS3,CFB,CCL24,C1QA,C1QB,LBP,CSF1,C4B,NINJ1,CD48,SERPING1,IFI30,DPP4,ADM,SMPDL3B,MILR1,TSLP,CCN3,LY86,ANG,CASP4,IL7,EPHB6,CFP,IL33,IL18,TNFRSF11B,CCL6,CCL11,GRN,VEGFD,C3,SERPINB1A,CFH,IL16,GSDMD,EDA,BMP4,CCDC134,PLA2G7,RARRES2,ENDOD1,CD9,CTSL,TMEM98,B2M,ECM1,IL6RA,LGALS9,PSAP,TGFB1
GO:0051239	regulation of multicellular organismal process	1.5385497468300102e-28	1.5385497468300102e-28	+1	FGF23,MMP12,CXCL13,TREM2,F7,GDF3,HPSE,IL10,OSM,BDNF,FGF21,KNG2,LEP,FCNA,CCK,CMA1,SFRP4,CTSS,CHGA,CCL2,NMU,CCL3,SRPX2,HAVCR2,SERPINE1,CCL4,CLCF1,SLIT1,IL12B,EDN3,TNF,METRN,FSTL3,ANXA1,EMILIN2,FGF9,TNFSF11,CD40,THBS4,TNR,WNT11,TNFSF13,CHIL1,CCL5,ADAMTS5,FGF18,C1QC,FLRT2,CCL24,TG,BMP2,CCN1,LBP,CSF1,NINJ1,SERPING1,PLA2R1,CCBE1,ADM,EFEMP1,FGF1,TSLP,PLAU,WNT9A,CCN3,INHBB,CASP4,IL7,PDGFC,IL33,FLRT3,IL18,SEMA3E,TNFRSF11B,NTN4,OLFM1,CCL11,GRN,PROS1,C1QTNF1,VEGFD,SEMA3C,C3,SERPINB1A,IL16,SERPINE2,GSDMD,BMP4,SMOC2,DCN,CD9,PLAT,TMEM98,B2M,ECM1,IL6RA,LGALS9,TGFB1
GO:0009967	positive regulation of signal transduction	5.443239765466462e-27	5.443239765466462e-27	+1	FGF23,MMP12,CCL8,TREM2,F7,GDF3,HPSE,IL10,OSM,BDNF,FGF21,BMP3,LEP,CCL7,SFRP4,CHGA,CCL2,IL1RN,CCL3,F10,HAVCR2,CCL4,IL12B,INS2,EDN3,TNF,FGF9,TNFSF11,CD40,ENHO,WNT11,CHIL1,WNT5B,CCL5,MYOC,TGFA,FGF18,LEFTY1,CCL24,BMP2,CCN1,LBP,CSF1,NINJ1,PLA2R1,S100A4,CCBE1,IGFBP4,FGF1,TSLP,WNT9A,CCN3,INHBB,LY86,CASP4,IL7,PDGFC,IL18,SEMA3E,CCL6,CCL11,C1QTNF1,C3,EDA,BMP4,SMOC2,DCN,IL6RA,LGALS9,PSAP,TGFB1
GO:0040012	regulation of locomotion	5.705450342739437e-27	5.705450342739437e-27	+1	FGF23,MMP12,CXCL13,TREM2,F7,HPSE,FGF21,CCL7,CCL2,IL1RN,CCL3,SRPX2,SERPINE1,SLIT1,EDN3,TNF,ANXA1,EMILIN2,FGF9,CD40,THBS4,TNR,WNT11,WNT5B,CCL5,MYOC,FGF18,LGALS3,FLRT2,CCL24,BMP2,ST6GAL1,CCN1,LBP,CSF1,NINJ1,DPP4,CCBE1,EFEMP1,FGF1,PLAU,CCN3,PDGFC,IL33,IL18,SEMA3E,CCL11,GRN,VEGFD,SEMA3C,IL16,BMP4,SMOC2,PLA2G7,RARRES2,DCN,CD9,ECM1,LGALS9,TGFB1
GO:0051240	positive regulation of multicellular organismal process	6.153032234944275e-27	6.153032234944275e-27	+1	MMP12,TREM2,F7,HPSE,IL10,OSM,BDNF,FGF21,LEP,FCNA,CCK,CMA1,CHGA,CCL2,NMU,CCL3,SRPX2,HAVCR2,SERPINE1,CCL4,CLCF1,IL12B,EDN3,TNF,METRN,ANXA1,EMILIN2,FGF9,TNFSF11,CD40,TNR,WNT11,TNFSF13,CHIL1,CCL5,FGF18,FLRT2,CCL24,BMP2,CCN1,LBP,CSF1,NINJ1,PLA2R1,CCBE1,ADM,FGF1,TSLP,PLAU,INHBB,CASP4,IL7,PDGFC,IL33,FLRT3,IL18,OLFM1,CCL11,GRN,C1QTNF1,VEGFD,C3,IL16,SERPINE2,GSDMD,BMP4,SMOC2,PLAT,B2M,ECM1,IL6RA,LGALS9,TGFB1
GO:0030334	regulation of cell migration	1.235129318349306e-26	1.235129318349306e-26	+1	FGF23,MMP12,CXCL13,TREM2,F7,HPSE,FGF21,CCL7,CCL2,IL1RN,CCL3,SRPX2,SERPINE1,EDN3,TNF,ANXA1,EMILIN2,FGF9,CD40,THBS4,TNR,WNT11,WNT5B,CCL5,MYOC,FGF18,LGALS3,FLRT2,CCL24,BMP2,CCN1,LBP,CSF1,NINJ1,DPP4,CCBE1,EFEMP1,FGF1,PLAU,CCN3,PDGFC,IL33,IL18,SEMA3E,CCL11,GRN,VEGFD,SEMA3C,BMP4,SMOC2,PLA2G7,RARRES2,DCN,CD9,ECM1,LGALS9,TGFB1
GO:0032103	positive regulation of response to external stimulus	3.2444578901866817e-26	3.2444578901866817e-26	+1	MMP12,CXCL13,TREM2,F7,OSM,CXCL1,FCNA,CCL7,CTSS,CCL2,CCL3,HAVCR2,SERPINE1,IL12B,EDN3,TNF,EMILIN2,TNFSF11,THBS4,CCL5,FGF18,CCL24,LBP,CSF1,NINJ1,DPP4,TSLP,PLAU,LY86,CASP4,IL33,IL18,GRN,VEGFD,C3,IL16,SMOC2,PLA2G7,RARRES2,PLAT,LGALS9,TGFB1
GO:0006935	chemotaxis	5.580839678971254e-26	5.580839678971254e-26	+1	CXCL13,CCL8,TREM2,F7,SAA3,CXCL2,BDNF,CXCL1,CCL7,CHGA,CCL2,CCL3,SERPINE1,CCL4,SLIT1,EDN3,ANXA1,TNFSF11,THBS4,CCL5,FGF18,LGALS3,FLRT2,CCL24,ST6GAL1,CCN1,LBP,CSF1,NINJ1,DPP4,FGF1,CCN3,EPHB6,FLRT3,SEMA3E,CCL6,CCL11,VEGFD,SEMA3C,IL16,BMP4,SMOC2,PLA2G7,RARRES2,SLIT3,LGALS9,TGFB1
GO:0042330	taxis	6.438970465110751e-26	6.438970465110751e-26	+1	CXCL13,CCL8,TREM2,F7,SAA3,CXCL2,BDNF,CXCL1,CCL7,CHGA,CCL2,CCL3,SERPINE1,CCL4,SLIT1,EDN3,ANXA1,TNFSF11,THBS4,CCL5,FGF18,LGALS3,FLRT2,CCL24,ST6GAL1,CCN1,LBP,CSF1,NINJ1,DPP4,FGF1,CCN3,EPHB6,FLRT3,SEMA3E,CCL6,CCL11,VEGFD,SEMA3C,IL16,BMP4,SMOC2,PLA2G7,RARRES2,SLIT3,LGALS9,TGFB1
