GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0040012	regulation of locomotion	8.099385641750956e-21	8.099385641750956e-21	+1	SCG2,CXCL14,PTN,SST,EMILIN1,NOG,TNC,EDN3,GREM1,POSTN,IGFBP3,TRF,TAFA5,THBS4,TGFB2,CEMIP,LAMA5,IGF2,SNCA,CCN4,ARTN,KITL,CD9,SMOC2,JAM3,ANGPT1,AGT,EDN1,VTN,PDGFA,HYAL1,SDC4,SPARC,GPI1,NBL1,WNT5A,CALR,SDCBP,FURIN,EMC10,MGAT5,CD63
GO:0051239	regulation of multicellular organismal process	2.6523484515838465e-20	2.6523484515838465e-20	+1	DEFA24,LIPG,HSPB6,PTN,SCUBE2,CPE,NPNT,EMILIN1,FSTL4,CBLN2,ACHE,NOG,EDN3,CHGA,GREM1,POSTN,ASPN,IL17B,SPON2,GAL,TRF,TAFA5,GFRA4,THBS4,TGFB2,PCSK9,NOTUM,LAMA5,IGF2,GRP,CCN4,APOC1,KITL,CD9,SMOC2,HSP90AB1,NPY,LGI4,ANGPT1,AGT,FGL2,EDN1,VTN,SOSTDC1,PDGFA,IL4RA,TMEM25,HYAL1,SPARC,TNFRSF11B,GPI1,ZBED3,PRXL2A,CHADL,ADAMTS7,PKDCC,TFPI,DEFA30,WNT5A,CALR,SDCBP,FURIN,EMC10,CD63,ABCD1
GO:0040011	locomotion	4.194393376481454e-20	4.194393376481454e-20	+1	SCG2,CXCL14,PTN,SST,EMILIN1,NOG,TNC,EDN3,CHGA,COLEC10,GREM1,POSTN,IL17B,IGFBP3,TRF,TAFA5,THBS4,TGFB2,CEMIP,LAMA5,IGF2,SNCA,CCN4,ARTN,KITL,CD9,SMOC2,JAM3,ANGPT1,AGT,EDN1,VTN,PDGFA,HYAL1,SDC4,SPARC,CHL1,GPI1,NBL1,WNT5A,CALR,SDCBP,FURIN,EMC10,MGAT5,CD63
GO:2000145	regulation of cell motility	1.2456292532262097e-18	1.2456292532262097e-18	+1	CXCL14,PTN,SST,EMILIN1,NOG,TNC,EDN3,GREM1,POSTN,IGFBP3,TRF,TAFA5,THBS4,TGFB2,CEMIP,LAMA5,IGF2,CCN4,KITL,CD9,SMOC2,JAM3,ANGPT1,AGT,EDN1,VTN,PDGFA,HYAL1,SDC4,SPARC,GPI1,NBL1,WNT5A,CALR,SDCBP,FURIN,EMC10,MGAT5,CD63
GO:0030334	regulation of cell migration	1.4322916040698401e-18	1.4322916040698401e-18	+1	CXCL14,PTN,SST,EMILIN1,NOG,TNC,EDN3,GREM1,POSTN,IGFBP3,TAFA5,THBS4,TGFB2,CEMIP,LAMA5,IGF2,CCN4,KITL,CD9,SMOC2,JAM3,ANGPT1,AGT,EDN1,VTN,PDGFA,HYAL1,SDC4,SPARC,GPI1,NBL1,WNT5A,CALR,SDCBP,FURIN,EMC10,MGAT5,CD63
GO:0007275	multicellular organism development	3.2145483675984765e-18	3.2145483675984765e-18	+1	MMP17,SCG2,HSPB6,PTN,SCUBE2,CPE,HSPA1A,NPNT,DKK3,EMILIN1,FSTL4,CBLN2,ACHE,NOG,TNC,EDN3,COLEC10,GREM1,POSTN,ASPN,DKK2,NRTN,GAL,TRF,TAFA5,GFRA4,THBS4,TGFB2,VGF,PCSK9,NOTUM,LAMA5,IGF2,SNCA,COL27A1,CCN4,BRINP2,ARTN,KITL,CD9,SMOC2,JAM3,COL8A2,HSP90AB1,NPY,SERPINI1,LGI4,ANGPT1,AGT,FGL2,EDN1,VTN,SOSTDC1,PDGFA,IL4RA,CHRDL1,SEZ6,GREM2,RSPO3,HYAL1,COL1A2,SDC4,SPARC,TNFRSF11B,CHL1,GPI1,DHH,ZBED3,PRXL2A,CHADL,NBL1,ADAMTS7,PKDCC,YBX1,WNT5A,CALR,SDCBP,FURIN
GO:0048856	anatomical structure development	1.211353776282659e-17	1.211353776282659e-17	+1	MMP17,SCG2,HSPB6,CAP2,CXCL14,PTN,SCUBE2,CPE,HSPA1A,SPARCL1,NPNT,DKK3,EMILIN1,FSTL4,CBLN2,ACHE,NOG,TNC,EDN3,COLEC10,ACRBP,GREM1,POSTN,ASPN,DKK2,NRTN,GAL,IGFBP3,TRF,TAFA5,GFRA4,THBS4,TGFB2,VGF,PCSK9,NOTUM,TNFRSF19,LAMA5,DNASE1L2,IGF2,SNCA,COL27A1,CCN4,BRINP2,ARTN,KITL,CD9,SMOC2,JAM3,COL8A2,HSP90AB1,NPY,SERPINI1,LGI4,ANGPT1,AGT,FGL2,EDN1,VTN,SOSTDC1,PDGFA,IL4RA,CHRDL1,SEZ6,GREM2,RSPO3,HYAL1,COL1A2,SDC4,SPARC,TNFRSF11B,CHL1,GPI1,DHH,ZBED3,PRXL2A,CHADL,NBL1,ADAMTS7,PKDCC,YBX1,WNT5A,CALR,SDCBP,FURIN
GO:0016477	cell migration	1.6405990464812447e-16	1.6405990464812447e-16	+1	SCG2,CXCL14,PTN,SST,EMILIN1,NOG,TNC,EDN3,CHGA,GREM1,POSTN,NRTN,IL17B,IGFBP3,TAFA5,THBS4,TGFB2,CEMIP,LAMA5,IGF2,CCN4,ARTN,KITL,CD9,SMOC2,JAM3,ANGPT1,AGT,EDN1,VTN,PDGFA,HYAL1,SDC4,SPARC,CHL1,GPI1,NBL1,WNT5A,CALR,SDCBP,FURIN,EMC10,MGAT5,CD63
GO:0040017	positive regulation of locomotion	5.150356234482537e-16	5.150356234482537e-16	+1	SCG2,CXCL14,PTN,EDN3,POSTN,TRF,THBS4,TGFB2,CEMIP,IGF2,CCN4,ARTN,KITL,SMOC2,JAM3,ANGPT1,AGT,EDN1,VTN,PDGFA,HYAL1,SPARC,GPI1,WNT5A,CALR,SDCBP,FURIN,EMC10,MGAT5
GO:0030198	extracellular matrix organization	1.6313048102564954e-15	1.6313048102564954e-15	+1	MMP17,NPNT,EMILIN1,GREM1,POSTN,ADAMTS8,QSOX1,TGFB2,COL27A1,ADAMTS17,ADAMTS4,SMOC2,COL8A2,GFOD2,AGT,VTN,COL1A2,TNFRSF11B,CHADL,THSD4,ADAMTS7,VWA1
GO:0045229	external encapsulating structure organization	1.7521196387883249e-15	1.7521196387883249e-15	+1	MMP17,NPNT,EMILIN1,GREM1,POSTN,ADAMTS8,QSOX1,TGFB2,COL27A1,ADAMTS17,ADAMTS4,SMOC2,COL8A2,GFOD2,AGT,VTN,COL1A2,TNFRSF11B,CHADL,THSD4,ADAMTS7,VWA1
GO:0032502	developmental process	1.7972165110831836e-15	1.7972165110831836e-15	+1	MMP17,SCG2,HSPB6,CAP2,CXCL14,PTN,SCUBE2,CPE,HSPA1A,SPARCL1,NPNT,DKK3,EMILIN1,FSTL4,CBLN2,ACHE,NOG,TNC,EDN3,COLEC10,ACRBP,GREM1,POSTN,ASPN,DKK2,NELL2,NRTN,GAL,IGFBP3,TRF,TAFA5,GFRA4,THBS4,TGFB2,VGF,PCSK9,NOTUM,TNFRSF19,LAMA5,DNASE1L2,IGF2,SNCA,COL27A1,CCN4,BRINP2,ARTN,KITL,CD9,SMOC2,JAM3,COL8A2,HSP90AB1,NPY,SERPINI1,LGI4,ANGPT1,AGT,FGL2,EDN1,VTN,SOSTDC1,PDGFA,IL4RA,CHRDL1,SEZ6,GREM2,RSPO3,HYAL1,COL1A2,SDC4,SPARC,TNFRSF11B,CHL1,GPI1,DHH,ZBED3,PRXL2A,CHADL,NBL1,ADAMTS7,PKDCC,YBX1,WNT5A,CALR,SDCBP,FURIN
GO:0043062	extracellular structure organization	1.8813905896812934e-15	1.8813905896812934e-15	+1	MMP17,NPNT,EMILIN1,GREM1,POSTN,ADAMTS8,QSOX1,TGFB2,COL27A1,ADAMTS17,ADAMTS4,SMOC2,COL8A2,GFOD2,AGT,VTN,COL1A2,TNFRSF11B,CHADL,THSD4,ADAMTS7,VWA1
GO:0048870	cell motility	2.239401035514905e-15	2.239401035514905e-15	+1	SCG2,CXCL14,PTN,SST,EMILIN1,NOG,TNC,EDN3,CHGA,GREM1,POSTN,NRTN,IL17B,IGFBP3,TRF,TAFA5,THBS4,TGFB2,CEMIP,LAMA5,IGF2,CCN4,ARTN,KITL,CD9,SMOC2,JAM3,ANGPT1,AGT,EDN1,VTN,PDGFA,HYAL1,SDC4,SPARC,CHL1,GPI1,NBL1,WNT5A,CALR,SDCBP,FURIN,EMC10,MGAT5,CD63
GO:0048731	system development	2.5635287472586515e-15	2.5635287472586515e-15	+1	MMP17,SCG2,HSPB6,PTN,SCUBE2,CPE,HSPA1A,NPNT,DKK3,EMILIN1,FSTL4,CBLN2,ACHE,NOG,TNC,EDN3,GREM1,POSTN,NRTN,GAL,TRF,TAFA5,GFRA4,THBS4,TGFB2,VGF,PCSK9,NOTUM,LAMA5,IGF2,SNCA,COL27A1,CCN4,BRINP2,ARTN,KITL,CD9,SMOC2,JAM3,COL8A2,HSP90AB1,NPY,SERPINI1,LGI4,ANGPT1,AGT,FGL2,EDN1,VTN,PDGFA,IL4RA,CHRDL1,SEZ6,RSPO3,HYAL1,COL1A2,SDC4,SPARC,TNFRSF11B,CHL1,DHH,PRXL2A,CHADL,NBL1,ADAMTS7,PKDCC,WNT5A,CALR,SDCBP
GO:0009605	response to external stimulus	9.19689535916907e-15	9.19689535916907e-15	+1	DEFA24,REG3B,ITLN1,ZG16,LIPG,SCG2,CXCL14,PTN,NPNT,EMILIN1,NOG,TNC,EDN3,WFDC1,CHGA,COLEC10,GREM1,POSTN,PCSK1N,IL17B,SPON2,TRF,TAFA5,THBS4,TGFB2,VGF,PCSK9,LAMA5,IGF2,SNCA,GRP,CCN4,ARTN,ADAMTS4,CD9,SMOC2,JAM3,NPY,ANGPT1,MASP1,AGT,FGL2,CFD,EDN1,VTN,PDGFA,IL4RA
GO:2000147	positive regulation of cell motility	2.822646891267528e-14	2.822646891267528e-14	+1	CXCL14,PTN,EDN3,POSTN,TRF,THBS4,TGFB2,CEMIP,IGF2,CCN4,KITL,SMOC2,JAM3,ANGPT1,AGT,EDN1,VTN,PDGFA,HYAL1,SPARC,GPI1,WNT5A,CALR,SDCBP,FURIN,EMC10,MGAT5
GO:0030335	positive regulation of cell migration	9.449094353095437e-14	9.449094353095437e-14	+1	CXCL14,PTN,EDN3,POSTN,THBS4,TGFB2,CEMIP,IGF2,CCN4,KITL,SMOC2,JAM3,ANGPT1,AGT,EDN1,VTN,PDGFA,HYAL1,SPARC,GPI1,WNT5A,CALR,SDCBP,FURIN,EMC10,MGAT5
GO:0048583	regulation of response to stimulus	2.913444234066912e-13	2.913444234066912e-13	+1	REG3B,SCG2,CXCL14,PTN,SCUBE2,NPNT,DKK3,EMILIN1,FSTL4,NOG,TNC,EDN3,WFDC1,CHGA,COLEC10,GREM1,POSTN,ASPN,DKK2,IGFBP3,TAFA5,THBS4,TGFB2,PCSK9,NOTUM,TNFRSF19,IGF2,SNCA,GRP,CCN4,ARTN,KITL,CD9,SMOC2,JAM3,HSP90AB1,NPY,ANGPT1,MASP1,AGT,FGL2,CFD,EDN1,VTN,SOSTDC1,PDGFA,IL4RA,CHRDL1,SEZ6,TMEM25,GREM2,RSPO3,ZBED3,C1QTNF2,NBL1,YBX1,TFPI,WNT5A,CALR,SDCBP,FURIN,EMC10,MGAT5,CD63,ABCD1,KARS
GO:0032501	multicellular organismal process	4.924309137354278e-13	4.924309137354278e-13	+1	DEFA24,LIPG,MMP17,SCG2,HSPB6,PTN,SCUBE2,CPE,HSPA1A,NPNT,DKK3,EMILIN1,FSTL4,CBLN2,ACHE,NOG,TNC,EDN3,CHGA,COLEC10,ACRBP,GREM1,POSTN,ASPN,DKK2,NRTN,PCSK1N,IL17B,SPON2,GAL,IGFBP3,TRF,TAFA5,GFRA4,THBS4,TGFB2,VGF,CEMIP,PCSK9,NOTUM,TNFRSF19,LAMA5,DNASE1L2,IGF2,SNCA,GRP,COL27A1,CCN4,APOC1,BRINP2,ARTN,KITL,CD9,SMOC2,JAM3,COL8A2,HSP90AB1,NPY,SERPINI1,LGI4,ANGPT1,AGT,FGL2,EDN1,VTN,SOSTDC1,PDGFA,IL4RA,CHRDL1,SEZ6,IDE,TMEM25,GREM2,RSPO3,HYAL1,COL1A2,SDC4,SPARC,TNFRSF11B,CHL1,GPI1,DHH,ZBED3,PRXL2A,CHADL,NBL1,ADAMTS7,PKDCC,YBX1,TFPI,DEFA30,WNT5A,CALR,SDCBP,FURIN,VWA1,EMC10
GO:0050793	regulation of developmental process	8.345972485230749e-13	8.345972485230749e-13	+1	HSPB6,CXCL14,PTN,SCUBE2,CPE,HSPA1A,NPNT,EMILIN1,FSTL4,CBLN2,ACHE,NOG,EDN3,GREM1,POSTN,ASPN,GAL,IGFBP3,TRF,TAFA5,THBS4,TGFB2,NOTUM,LAMA5,IGF2,CCN4,BRINP2,KITL,SMOC2,HSP90AB1,LGI4,AGT,FGL2,EDN1,SOSTDC1,IL4RA,SEZ6,HYAL1,SPARC,TNFRSF11B,ZBED3,PRXL2A,CHADL,NBL1,ADAMTS7,PKDCC,YBX1,WNT5A,CALR,SDCBP
GO:0050896	response to stimulus	1.501285821087338e-12	1.501285821087338e-12	+1	DEFA24,REG3B,ITLN1,ZG16,CLCA1,LIPG,SCG2,CAP2,CXCL14,CALCB,PTN,SCUBE2,CPE,SST,HSPA1A,SPARCL1,NPNT,DKK3,EMILIN1,FSTL4,FIBIN,ACHE,NOG,ANGPTL1,TNC,EDN3,VIP,WFDC1,CHGA,COLEC10,GREM1,POSTN,ASPN,DKK2,NRTN,PCSK1N,IL17B,SPON2,GAL,IGFBP3,TRF,TAFA5,GFRA4,THBS4,TGFB2,VGF,ITIH4,SCG5,PCSK9,NOTUM,TNFRSF19,LAMA5,IGF2,SNCA,HMCN2,GRP,CCN4,BRINP2,ARTN,KITL,ADAMTS4,CD9,SMOC2,JAM3,HSP90AB1,NPY,ANGPT1,MASP1,AGT,FGL2,CFD,EDN1,VTN,SOSTDC1,PDGFA,IL4RA,CHRDL1,SEZ6,TMEM25,GREM2,RSPO3,HYAL1,COL1A2,SDC4,SPARC,TNFRSF11B,CHL1,GPI1,DHH,ZBED3,PRXL2A,C1QTNF2,NBL1,ADAMTS7,YBX1,TFPI,DEFA30,WNT5A,CALR,HDGF,SDCBP,FURIN,DEFA17,VWA1,EMC10,MGAT5
GO:0048513	animal organ development	1.7801231695895747e-12	1.7801231695895747e-12	+1	MMP17,CXCL14,PTN,SCUBE2,CPE,NPNT,DKK3,EMILIN1,ACHE,NOG,TNC,EDN3,GREM1,ASPN,NRTN,GAL,TRF,TGFB2,VGF,PCSK9,NOTUM,TNFRSF19,LAMA5,DNASE1L2,IGF2,COL27A1,CCN4,ARTN,KITL,JAM3,COL8A2,HSP90AB1,NPY,ANGPT1,AGT,FGL2,EDN1,VTN,SOSTDC1,PDGFA,IL4RA,CHRDL1,SEZ6,GREM2,RSPO3,HYAL1,COL1A2,SDC4,SPARC,TNFRSF11B,DHH,PRXL2A,CHADL,NBL1,ADAMTS7,PKDCC,WNT5A,CALR,SDCBP
GO:0009653	anatomical structure morphogenesis	3.2965524430518775e-12	3.2965524430518775e-12	+1	SCG2,HSPB6,CAP2,PTN,SCUBE2,CPE,NPNT,EMILIN1,FSTL4,ACHE,NOG,TNC,EDN3,ACRBP,GREM1,POSTN,ASPN,TAFA5,THBS4,TGFB2,LAMA5,IGF2,COL27A1,ARTN,CD9,SMOC2,JAM3,COL8A2,HSP90AB1,ANGPT1,AGT,EDN1,VTN,SOSTDC1,IL4RA,GREM2,RSPO3,HYAL1,COL1A2,SDC4,SPARC,TNFRSF11B,CHL1,GPI1,NBL1,PKDCC,YBX1,WNT5A,CALR,FURIN,EMC10
GO:0007166	cell surface receptor signaling pathway	5.57395112062619e-12	5.57395112062619e-12	+1	SCG2,PTN,SCUBE2,CPE,NPNT,DKK3,EMILIN1,FSTL4,NOG,ANGPTL1,EDN3,GREM1,POSTN,ASPN,DKK2,NRTN,IGFBP3,TRF,GFRA4,TGFB2,NOTUM,LAMA5,IGF2,SNCA,CCN4,ARTN,KITL,SMOC2,HSP90AB1,ANGPT1,MASP1,AGT,CFD,EDN1,SOSTDC1,PDGFA,IL4RA,CHRDL1,SEZ6,TMEM25,GREM2,RSPO3,COL1A2,DHH,ZBED3,NBL1,YBX1,WNT5A,SDCBP,FURIN,MGAT5,CD63
GO:0051241	negative regulation of multicellular organismal process	7.695249852957424e-12	7.695249852957424e-12	+1	PTN,CPE,EMILIN1,FSTL4,NOG,GREM1,ASPN,TAFA5,GFRA4,THBS4,TGFB2,PCSK9,CCN4,APOC1,CD9,HSP90AB1,ANGPT1,AGT,FGL2,VTN,SOSTDC1,PDGFA,IL4RA,SPARC,TNFRSF11B,CHADL,ADAMTS7,TFPI,WNT5A,CALR,FURIN,CD63,ABCD1
GO:0051716	cellular response to stimulus	4.3162860842305706e-11	4.3162860842305706e-11	+1	DEFA24,REG3B,CLCA1,SCG2,CAP2,CXCL14,CALCB,PTN,SCUBE2,CPE,SST,HSPA1A,SPARCL1,NPNT,DKK3,EMILIN1,FSTL4,FIBIN,ACHE,NOG,ANGPTL1,TNC,EDN3,VIP,CHGA,GREM1,POSTN,ASPN,DKK2,NRTN,PCSK1N,IL17B,SPON2,GAL,IGFBP3,TRF,TAFA5,GFRA4,THBS4,TGFB2,VGF,SCG5,PCSK9,NOTUM,TNFRSF19,LAMA5,IGF2,SNCA,GRP,CCN4,BRINP2,ARTN,KITL,CD9,SMOC2,JAM3,HSP90AB1,NPY,ANGPT1,MASP1,AGT,CFD,EDN1,SOSTDC1,PDGFA,IL4RA,CHRDL1,SEZ6,TMEM25,GREM2,RSPO3,HYAL1,COL1A2,SPARC,TNFRSF11B,CHL1,GPI1,DHH,ZBED3,PRXL2A,C1QTNF2,NBL1,ADAMTS7,YBX1,TFPI,DEFA30,WNT5A,CALR,HDGF,SDCBP,FURIN,DEFA17,EMC10,MGAT5
GO:0048519	negative regulation of biological process	9.641317694774385e-11	9.641317694774385e-11	+1	REG3B,SCG2,HSPB6,CXCL14,PTN,CPE,HSPA1A,DKK3,EMILIN1,FSTL4,NOG,TNC,EDN3,WFDC1,CHGA,GREM1,POSTN,ASPN,DKK2,PCSK1N,GAL,IGFBP3,TAFA5,GFRA4,THBS4,QSOX1,TGFB2,CEMIP,ITIH4,PCSK9,NOTUM,IGF2,SNCA,GRP,CCN4,APOC1,BRINP2,KITL,CD9,JAM3,HSP90AB1,NPY,SERPINI1,ANGPT1,MASP1,AGT,FGL2,EDN1,VTN,SOSTDC1,PDGFA,IL4RA,CHRDL1,TMEM25,GREM2,HYAL1,SDC4,SPARC,TNFRSF11B,CHL1,GPI1,ZBED3,CHADL,NBL1,ADAMTS7,PKDCC,YBX1,TFPI,WNT5A,CALR,HDGF,SDCBP,FURIN,MGAT5,HNRNPA2B1,CD63,ABCD1
GO:0051240	positive regulation of multicellular organismal process	1.8845421332342043e-10	1.8845421332342043e-10	+1	DEFA24,LIPG,HSPB6,PTN,SCUBE2,NPNT,EMILIN1,CBLN2,ACHE,NOG,EDN3,CHGA,GREM1,POSTN,IL17B,SPON2,GAL,TRF,TGFB2,IGF2,GRP,CCN4,KITL,SMOC2,NPY,AGT,EDN1,VTN,IL4RA,HYAL1,ZBED3,PKDCC,DEFA30,WNT5A,SDCBP,FURIN,EMC10
GO:0007167	enzyme-linked receptor protein signaling pathway	2.7021095486885047e-10	2.7021095486885047e-10	+1	NPNT,EMILIN1,FSTL4,NOG,ANGPTL1,GREM1,ASPN,NRTN,IGFBP3,TRF,GFRA4,TGFB2,IGF2,SNCA,SMOC2,HSP90AB1,ANGPT1,AGT,SOSTDC1,PDGFA,CHRDL1,GREM2,COL1A2,NBL1,YBX1,WNT5A,SDCBP,FURIN,CD63
GO:2000026	regulation of multicellular organismal development	2.760266054914226e-10	2.760266054914226e-10	+1	HSPB6,PTN,EMILIN1,FSTL4,CBLN2,ACHE,NOG,GREM1,ASPN,GAL,TRF,TAFA5,THBS4,TGFB2,NOTUM,LAMA5,IGF2,CCN4,KITL,SMOC2,LGI4,AGT,FGL2,EDN1,IL4RA,HYAL1,SPARC,TNFRSF11B,ZBED3,PRXL2A,CHADL,ADAMTS7,PKDCC,WNT5A
