"EnrichmentMap::Colouring (mat_u_en)","EnrichmentMap::ES (mat_u_en)","EnrichmentMap::fdr_qvalue (mat_u_en)","EnrichmentMap::fwer_qvalue (mat_u_en)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (mat_u_en)","EnrichmentMap::pvalue (mat_u_en)","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"0.9999999999970807",,"2.919333453338729E-12",,"CCL8|PF4|XCL1|ANXA1|CXCL1|CXCL2|IL34|CCL11|SPP1|CSF1|CXCL13|MSTN|CCL7|CXCL5|CCL24|CXCL9|LBP|IL1B|CCL2","granulocyte chemotaxis","19","ENR","GO:0071621","1.0","2.919333453338729E-12","Cluster 3","Clustered","51.199242583631396","GO:0071621","false","GO:0071621"
"0.9819267718194673",,"0.018073228180532728",,"CSF1|XCL1|MSTN|LBP|IL1B|CCL2|IL34","regulation of granulocyte chemotaxis","7","ENR","GO:0071622","1.0","0.018073228180532728","Cluster 3","Clustered","55.95432098765432","GO:0071622","false","GO:0071622"
"0.9695684356913915",,"0.030431564308608473",,"SERPING1|A2M|KNG2|F10|F11|SERPINE2","Intrinsic Pathway of Fibrin Clot Formation","6","ENR","REAC:R-MMU-140837","1.0","0.030431564308608473","Cluster 5","Clustered","26.130681818181817","REAC:R-MMU-140837","false","REAC:R-MMU-140837"
"0.9999952301460059",,"4.769853994061884E-6",,"XCL1|LEP|PLA2G2D|IL21|IL12B|IL6|ANXA1|ZP3|IGFBP2|TNFSF13B|IL18|WNT4|EPHB6|EBI3|IL1B|HAVCR2","T cell proliferation","16","ENR","GO:0042098","1.0","4.769853994061884E-6","Cluster 1","Clustered","90.97286821705426","GO:0042098","false","GO:0042098"
"0.9522673678297526",,"0.04773263217024742",,"HRG|LEP|SFRP2|IL12B|ADM|IL6|HTRA4|C6|ANXA1|PLA2R1|INHBB|IL10|IL18|SFRP4|FASL|LGALS1|IL1B|CCL2|WNT11|EMILIN2|FAP","positive regulation of apoptotic process","21","ENR","GO:0043065","1.0","0.04773263217024742","Cluster 3","Clustered","57.275000000000006","GO:0043065","false","GO:0043065"
"0.9999935989494991",,"6.401050500909906E-6",,"CCL8|XCL1|NINJ1|SERPINE1|CCL7|CCL24|ANXA1|CCN3|CCL2|CCL11","monocyte chemotaxis","10","ENR","GO:0002548","1.0","6.401050500909906E-6","Cluster 3","Clustered","51.81310608286805","GO:0002548","false","GO:0002548"
"1.0",,"7.077025324436979E-28",,"MMP13|MMP12|CCDC80|ADAMTS18|PTX3|KLK4|COL24A1|CMA1|IMPG2|ADAMTS5|ADAMTS16|NDNF|MMP8|IBSP|LAMA2|ADAMTS6|COL19A1|MMP10|FMOD|COMP|NTN4|CRTAP|FBLN2|COL8A1|FAP|TNR|COL14A1|COL15A1|SFRP2|CTSS|ANGPTL7|IL6|LAMA1|COL2A1|HMCN1|ADAMTSL2|ADAMTS1|MFAP4|FLRT2|COL4A6|ADAMTS3|LOX","extracellular structure organization","42","ENR","GO:0043062","1.0","7.077025324436979E-28","Cluster 9","Clustered","12.876190476190477","GO:0043062","false","GO:0043062"
"1.0",,"2.375844293960558E-24",,"CCL8|FGF18|LEP|NINJ1|MMP12|SEMA3D|SERPINE1|TREM2|INSL6|SAA3|SERPINF1|CXCL1|LAMA3|F7|IL34|CCL11|SPP1|SVS3A|CSF1|DEFB3|VEGFC|CXCL13|MSTN|LAMA2|CCL7|IL1RN|MMP10|LBP|TAC4|PLTP|HRG|GDF6|SFRP2|MYOC|IL12B|CXCL2|TNN|IL24|BMPER|FGF16|TAFA4|GPC5|CCL24|CCL2|CCBE1|EMILIN2|LEFTY1|PDGFC|XCL1|DCN|SRPX2|PLAU|ANXA1|ZP3|FGF10|ITGBL1|NDNF|LAMC3|ANGPTL3|HPSE|CXCL5|CXCL9|NTN4|SVEP1|IL1B|FAP|TNR|PF4|NLRP3|GPC6|ENPP2|LAMA1|HC|EFEMP1|RELN|IL18|ADAMTS1|WNT4|FGF6|FLRT2|CCN3|WNT11|LOX|TAC2|FGF2","cell motility","85","ENR","GO:0048870","1.0","2.375844293960558E-24","Cluster 2","Clustered","64.64790764790764","GO:0048870","false","GO:0048870"
"0.9999999999999747",,"2.5270615851037343E-14",,"CCL8|LEP|SERPINE1|VSTM2A|TREM2|INSL6|GDF3|PTX3|COL24A1|ADAMTS5|SPP1|SVS3A|MSTN|CRP|SMOC1|IFNA13|A2M|SFRP2|IL12B|IL6|CRB1|FGF16|PGLYRP3|ADGRV1|CCL2|PLA2G2D|IL21|CNTN4|ANXA1|ZP3|FGF10|MMP8|IL10|PCDH15|BDNF|HPSE|CXCL5|CXCL9|FASL|IL1B|TNR|PF4|NLRP3|BMP6|LAMA1|SLIT3|C1QC|RELN|LAG3|IL18|C1QA|WNT4|FLRT2|EPHB6|LGALS1|CCN3|ST6GAL1|WNT11|LOX|FGF2|METRNL|FGF18|CTLA2A|NINJ1|SEMA3D|ADM|CFH|SERPINF1|INHBB|LAMA3|IL34|CCL11|SERPINE2|CSF1|VEGFC|LAMA2|SFRP5|GDF6|VWC2|MYOC|WNT1|MUP4|MUP11|INS2|COL2A1|PKHD1|TNN|TNFSF13B|VWC2L|SFRP4|CNMD|FAM20C|BMP3|HHIP|NLGN1|CCDC3|BTC|IL7|XDH|GLDN|TENM1|NDNF|CDSN|LAMC3|COL19A1|COMP|NTN4|COL8A1|SPOCK1|COL14A1|COL15A1|OSTN|CORIN|IL20|ENAM|EFEMP1|METRN|WNT2|MGP|ADAMTS1|WNT8A|FGF6|WNT10A","cellular developmental process","123","ENR","GO:0048869","1.0","2.5270615851037343E-14","Cluster 1","Clustered","86.67146017699115","GO:0048869","false","GO:0048869"
"0.9908613514344683",,"0.00913864856553168",,"PLA2G2D|NLRP3|IL6|HPSE|ZP3|IL1B","regulation of acute inflammatory response","6","ENR","GO:0002673","1.0","0.00913864856553168","Cluster 1","Clustered","80.1781838949172","GO:0002673","false","GO:0002673"
