"EnrichmentMap::Colouring (scat_d_en)","EnrichmentMap::ES (scat_d_en)","EnrichmentMap::fdr_qvalue (scat_d_en)","EnrichmentMap::fwer_qvalue (scat_d_en)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (scat_d_en)","EnrichmentMap::pvalue (scat_d_en)","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"0.9999414497137824",,"5.855028621760817E-5",,"DCN|CD40|EMILIN1|NAXE|ECM1|PTN|CCL5|HYAL1|SFRP2|C3|FGF18|SERPINF1|NINJ1|HPSE|SPARC","regulation of vasculature development","15","ENR","GO:1901342","1.0","5.855028621760817E-5","Cluster 2","Clustered","53.328813559322036","GO:1901342","false","GO:1901342"
"0.9779390059119396",,"0.022060994088060344",,"CD5L|C1RL|C1QA|CFP|C1QBP|CFD|C3|C1QB|C1QC","complement activation","9","ENR","GO:0006956","1.0","0.022060994088060344","Cluster 5","Clustered","26.689655172413794","GO:0006956","false","GO:0006956"
"0.9716049612668413",,"0.028395038733158736",,"CFP|CFD|C3","""complement activation, alternative pathway""","3","ENR","GO:0006957","1.0","0.028395038733158736","Cluster 5","Clustered","26.866995073891626","GO:0006957","false","GO:0006957"
"1.0",,"5.2007554336046524E-18",,"DCN|FLT3L|CCL19|NAXE|LTA|PTN|NUCB2|CCL5|PGLYRP2|C3|CLU|FN1|CTHRC1|CST7|CCL9|ACE|CCL8|PGLYRP1|HPSE|ADAMTS12|ADAM17|CD40|IL4RA|TNFAIP6|ECM1|LOXL3|HMGB2|APOE|HYAL1|SERPINF1|NINJ1|YBX1|FGL2|CYB5D2|EDN1|C1QC|TRF|EMILIN1|LAG3|CXCL12|C1QBP|POSTN|COL1A1|SFRP2|COL14A1|EFEMP2|LOXL2|COL5A2|COL5A1|LAMA2|LAMB1|SFRP4|SORL1|LRRC17|FST|CTSK|PRXL2A|PI16|FGF18|WNT2|FGF7|IL15RA|FBN1|HSP90AB1|CALR|SDCBP|BMP1|THPO|SPARC|ASPN|CPE|SRGN","regulation of developmental process","72","ENR","GO:0050793","1.0","5.2007554336046524E-18","Cluster 4","Clustered","72.91352126134736","GO:0050793","false","GO:0050793"
"1.0",,"3.697387153990752E-31",,"CCL21A|IL22RA2|CCL19|LTA|CCL22|CXCL13|IL1R2|PTN|TIMP1|CCL5|PGLYRP2|CCL6|C3|CLU|FN1|CD5L|PLA2G7|CTSS|CST7|CCL9|SERPINB1A|C1QA|ACE|CCL8|PGLYRP1|HPSE|ADAMTS12|LY86|TSLP|ORM1|ORM3|IL16|ADAM17|CD40|IL4RA|TNFAIP6|ECM1|HP|GSDMD|CD14|LOXL3|HMGB2|APOE|HYAL1|C1QTNF12|NAMPT|ABCD1|SERPINF1|NINJ1","inflammatory response","49","ENR","GO:0006954","1.0","3.697387153990752E-31","Cluster 1","Clustered","97.94668359251031","GO:0006954","false","GO:0006954"
"0.998044106197846",,"0.0019558938021539754",,"MMP2|TIMP1|MMP3","cellular response to UV-A","3","ENR","GO:0071492","1.0","0.0019558938021539754","Cluster 15","Clustered","14.0","GO:0071492","false","GO:0071492"
"0.999985780314384",,"1.4219685615959303E-5",,"ADAM17|ECM1|PTN|FST|CCL5|HMGB2|APOE|HYAL1|SFRP2|FGF18|WNT2|SERPINF1|FGF7|SERPINB1A|ANG|FAP|SPARC|LOXL2","epithelial cell proliferation","18","ENR","GO:0050673","1.0","1.4219685615959303E-5","Cluster 3","Clustered","50.91299435028248","GO:0050673","false","GO:0050673"
"0.9999988111317223",,"1.188868277744739E-6",,"CCL21A|IL22RA2|CCL19|LTA|CCL22|CXCL13|IL1R2|PTN|TIMP1|CCL5|PGLYRP2|CCL6|C3|CLU|FN1|CD5L|PLA2G7|CTSS|CST7|CCL9|C1QA|ACE|CCL8|PGLYRP1|HPSE|ADAMTS12|LY86|TSLP|IL16|ADAM17|CD40|IL4RA|TNFAIP6|ECM1|HP|CD14|LOXL3|HMGB2|APOE|HYAL1|C1QTNF12|NAMPT|ABCD1|SERPINF1|NINJ1|DPP4|FGL2|CFP|ANG|CFD|EDN1|C1QC|TRF|EMILIN1|LAG3|CXCL12|JAM3|COL1A2|POSTN|COL3A1|COL1A1|SFRP2|LUM|OLFML2B|MMP2|COL4A5|AEBP1|COL14A1|ELN|EFEMP2|ADAMTS14|FAP|LOXL2|COL5A2|VTN|COL5A1|LAMA2|LAMB1|SFRP4|LIPG|SORL1|APOC1|LRRC17|FST|PRXL2A|PI16|FGF18|WNT2|SPP1|CHSY1|FGF7|IL15RA|FBN1|HSP90AB1|CALR|SDCBP|BMP1|GPI1|THPO|SPARC|ASPN|FABP5|CPE|SRGN|CD63|PLAT|DCN|FLT3L|GZMA|CHL1|NUCB2|IFI30|IDE|CD48|ST3GAL1|MILR1|IL11RA1|CTHRC1|IGFBP6|IGSF10|FSTL1|PCSK5|CPZ|MMP3|ANGPTL8|CTSD|DHH|CTSB|ANGPTL1|CLEC11A|DKK2|SEMA3B|GREM2|OGN|PON3|YBX1|CYB5D2|HNRNPA2B1|LGI3","regulation of cellular process","139","ENR","GO:0050794","1.0","1.188868277744739E-6","Cluster 1","Clustered","88.7887919640497","GO:0050794","false","GO:0050794"
"0.9999999999999993",,"6.532571869371853E-16",,"CCL21A|CCL19|LTA|CCL22|CXCL13|CCL5|PGLYRP2|CCL6|C3|CD48|ST3GAL1|CD5L|IL18BP|MILR1|CTSS|CST7|CCL9|SERPINB1A|C1QA|CCL8|PGLYRP1|LY86|TSLP|ADAM17|CD40|IL4RA|ECM1|GSDMD|CD14|LOXL3|HMGB2|APOE|NINJ1|RNASE6|DPP4|SPON2|FGL2|SSC5D|CFP|ANG|CFD|RNASET2B|EDN1|KARS|C1QB|C1QC|TRF|WFDC21|LAG3|C1RL|CXCL12|JAM3|CHID1|C1QBP|COL3A1|VTN|CTSK","immune response","57","ENR","GO:0006955","1.0","6.532571869371853E-16","Cluster 1","Clustered","94.69292929292929","GO:0006955","false","GO:0006955"
"0.9999999847167986",,"1.5283201411111997E-8",,"CCL21A|ADAM17|CCL19|CCL9|CCL22|CXCL13|CCL8|CCL5|CCL6","lymphocyte chemotaxis","9","ENR","GO:0048247","1.0","1.5283201411111997E-8","Cluster 1","Clustered","103.558352402746","GO:0048247","false","GO:0048247"
