GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0006954	inflammatory response	3.697387153990752e-31	3.697387153990752e-31	+1	CCL21A,IL22RA2,CCL19,LTA,CCL22,CXCL13,IL1R2,PTN,TIMP1,CCL5,PGLYRP2,CCL6,C3,CLU,FN1,CD5L,PLA2G7,CTSS,CST7,CCL9,SERPINB1A,C1QA,ACE,CCL8,PGLYRP1,HPSE,ADAMTS12,LY86,TSLP,ORM1,ORM3,IL16,ADAM17,CD40,IL4RA,TNFAIP6,ECM1,HP,GSDMD,CD14,LOXL3,HMGB2,APOE,HYAL1,C1QTNF12,NAMPT,ABCD1,SERPINF1,NINJ1
GO:0006952	defense response	1.985264402385708e-29	1.985264402385708e-29	+1	CCL21A,IL22RA2,CCL19,LTA,CCL22,CXCL13,IL1R2,PTN,TIMP1,CCL5,PGLYRP2,CCL6,C3,ADAMTS4,RNASE6,CLU,FN1,DPP4,SPON2,CD5L,FGL2,PLA2G7,CTSS,SSC5D,CST7,CCL9,CFP,SERPINB1A,ANG,C1QA,ACE,CFD,RNASET2B,EDN1,LYZ2,CCL8,PGLYRP1,HPSE,ADAMTS12,LY86,TSLP,ORM1,ORM3,C1QB,IL16,ADAM17,CD40,IL4RA,TNFAIP6,ECM1,C1QC,HP,TRF,WFDC21,EMILIN1,GSDMD,CD14,LOXL3,HMGB2,APOE,HYAL1,C1QTNF12,NAMPT,ABCD1,SERPINF1,NINJ1,LAG3,C1RL,CXCL12,JAM3,CHID1,C1QBP
GO:0030198	extracellular matrix organization	7.282492679292284e-27	7.282492679292284e-27	+1	COL1A2,POSTN,COL3A1,COL1A1,SFRP2,ADAMTS4,LUM,FN1,OLFML2B,DPP4,MMP2,CTSS,COL4A5,AEBP1,ADAMTS12,COL14A1,ADAMTSL1,ELN,ADAMTS15,VWA1,EFEMP2,ADAMTS14,EMILIN1,FAP,MMP19,GFOD2,LOXL2,LOXL3,COL5A2,VTN,COL5A1,LAMA2,ADAMTS2,LAMB1
GO:0045229	external encapsulating structure organization	8.160107489563524e-27	8.160107489563524e-27	+1	COL1A2,POSTN,COL3A1,COL1A1,SFRP2,ADAMTS4,LUM,FN1,OLFML2B,DPP4,MMP2,CTSS,COL4A5,AEBP1,ADAMTS12,COL14A1,ADAMTSL1,ELN,ADAMTS15,VWA1,EFEMP2,ADAMTS14,EMILIN1,FAP,MMP19,GFOD2,LOXL2,LOXL3,COL5A2,VTN,COL5A1,LAMA2,ADAMTS2,LAMB1
GO:0043062	extracellular structure organization	9.139628364080246e-27	9.139628364080246e-27	+1	COL1A2,POSTN,COL3A1,COL1A1,SFRP2,ADAMTS4,LUM,FN1,OLFML2B,DPP4,MMP2,CTSS,COL4A5,AEBP1,ADAMTS12,COL14A1,ADAMTSL1,ELN,ADAMTS15,VWA1,EFEMP2,ADAMTS14,EMILIN1,FAP,MMP19,GFOD2,LOXL2,LOXL3,COL5A2,VTN,COL5A1,LAMA2,ADAMTS2,LAMB1
GO:0051239	regulation of multicellular organismal process	5.49797262061277e-26	5.49797262061277e-26	+1	CCL19,LTA,CXCL13,IL1R2,POSTN,COL1A1,PTN,TIMP1,SFRP4,CCL5,SFRP2,PGLYRP2,C3,LUM,LIPG,SORL1,CLU,APOC1,FN1,LRRC17,SPON2,FST,MMP2,FGL2,CTSS,SSC5D,CTSK,CST7,SERPINB1A,ACE,PRXL2A,PI16,FGF18,EDN1,WNT2,SPP1,PGLYRP1,HPSE,ADAMTS12,COL14A1,CHSY1,TSLP,FGF7,IL15RA,FBN1,HSP90AB1,CALR,IL16,ADAM17,CD40,SDCBP,IL4RA,TNFAIP6,ECM1,C1QC,BMP1,TRF,EMILIN1,GPI1,GSDMD,THPO,CD14,LOXL2,LOXL3,HMGB2,APOE,SPARC,HYAL1,VTN,ASPN,ABCD1,SERPINF1,NINJ1,FABP5,CPE,SRGN,CD63,PLAT,DCN,LAMA2,FLT3L,LAG3,CXCL12,CHID1,C1QBP,NAXE
GO:0009605	response to external stimulus	5.284817337094107e-25	5.284817337094107e-25	+1	CCL21A,IL22RA2,CCL19,LTA,CCL22,CXCL13,PON1,POSTN,COL3A1,COL1A1,PTN,CCL5,SFRP2,PGLYRP2,CCL6,C3,ADAMTS4,RNASE6,LIPG,SORL1,CLU,FN1,DPP4,SPON2,MMP2,FGL2,PLA2G7,CTSS,SSC5D,CST7,CCL9,CFP,SERPINB1A,ANG,C1QA,ACE,CNP,CFD,RNASET2B,FGF18,EDN1,SPP1,LYZ2,CCL8,PGLYRP1,HPSE,ADAMTS12,LY86,CHSY1,TSLP,FGF7,CALR,C1QB,IL16,ADAM17,CD40,IL4RA,TNFAIP6,C1QC,HP,TRF,GZMA,WFDC21,EMILIN1,GPI1,GSDMD,CHL1,CD14,HMGB2,APOE,HYAL1,C1QTNF12,VTN,SERPINF1,NINJ1,NUCB2,NPC2,CD63,PLAT,AMY1,LAMA2,LAG3,C1RL,CXCL12,JAM3,CHID1,C1QBP
GO:0002376	immune system process	1.9115988295650185e-24	1.9115988295650185e-24	+1	CCL21A,CCL19,LTA,CCL22,CXCL13,COL3A1,PTN,CCL5,SFRP2,PGLYRP2,CCL6,C3,RNASE6,CLU,FN1,DPP4,LRRC17,SPON2,FST,CD5L,IFI30,FGL2,PLA2G7,CTSS,SSC5D,CTSK,CST7,CCL9,CFP,SERPINB1A,ANG,C1QA,ACE,PRXL2A,IDE,CD48,CFD,RNASET2B,EDN1,SPP1,CCL8,PGLYRP1,LY86,TSLP,IL15RA,FBN1,ORM1,ORM3,ST3GAL1,CALR,MFAP5,C1QB,IL16,ADAM17,CD40,IL4RA,TNFAIP6,ECM1,C1QC,HP,IL18BP,TRF,WFDC21,EMILIN1,GPI1,GSDMD,MILR1,THPO,CD14,LOXL3,HMGB2,APOE,VTN,NAMPT,IL11RA1,NINJ1,FLT3L,LAG3,C1RL,CXCL12,JAM3,CHID1,C1QBP
GO:0016477	cell migration	7.47095479240985e-23	7.47095479240985e-23	+1	CCL21A,CCL19,CTHRC1,CCL22,CXCL13,POSTN,COL3A1,COL1A1,PTN,TIMP1,CCL5,SFRP2,CCL6,SORL1,FN1,DPP4,IGFBP6,MMP2,PLA2G7,CCL9,ANG,ACE,IGSF10,FGF18,EDN1,SPP1,CCL8,HPSE,ADAMTS12,FSTL1,FGF7,CALR,IL16,ADAM17,CD40,SDCBP,TNFAIP6,ECM1,EMILIN1,FAP,GPI1,CHL1,LOXL2,HMGB2,APOE,SPARC,HYAL1,VTN,SERPINF1,NINJ1,COL5A1,CD63,PLAT,DCN,PCSK5,LAMA2,LAMB1,CXCL12,JAM3,C1QBP
GO:0006508	proteolysis	1.642373122631325e-21	1.642373122631325e-21	+1	CPZ,IL1R2,TIMP1,SFRP2,CPXM1,MMP3,C3,ADAMTS4,SORL1,CLU,FN1,DPP4,MMP2,CD5L,PCOLCE,CTSS,CTSK,PRSS53,CST7,SERPINB1A,ACE,NAPSA,PI16,IDE,ANGPTL8,CFD,AEBP1,HPSE,ADAMTS12,ACRBP,HSP90AB1,CTSD,ADAMTS15,CALR,ADAM17,SDCBP,ECM1,DHH,HP,BMP1,SCPEP1,RNPEP,ADAMTS14,GZMA,WFDC21,FAP,MMP19,GPI1,DPP7,PRSS12,PAMR1,APOE,VTN,SERPINF1,CPQ,CPE,SRGN,PLAT,PCSK5,ADAMTS2,C1RL,CTSB,ADAM23
