"__mclCluster","EnrichmentMap::Colouring (scat_u_en_2)","EnrichmentMap::ES (scat_u_en_2)","EnrichmentMap::fdr_qvalue (scat_u_en_2)","EnrichmentMap::fwer_qvalue (scat_u_en_2)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (scat_u_en_2)","EnrichmentMap::pvalue (scat_u_en_2)","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","selected","shared name"
"1","0.9961198815067615",,"0.003880118493238547",,"OLFM1|LAMA5|SEMA3F|SEMA3G|FGF9|BMP2|BMP4|NOG|WNT11|BMP5|GDNF|SFRP1","mesenchyme development","12","ENR","GO:0060485","1.0","0.003880118493238547","Cluster 1","Clustered","92.79733110925771","GO:0060485","false","GO:0060485"
"1","0.9973668644509852",,"0.0026331355490148214",,"SERPINE1|APOH|THBS1|PLG|HRG","negative regulation of angiogenesis","5","ENR","GO:0016525","1.0","0.0026331355490148214","Cluster 3","Clustered","48.847440699126096","GO:0016525","false","GO:0016525"
"1","0.9999715445122065",,"2.8455487793526025E-5",,"FGF2|LAMA5|PGF|BMP2|BMP4|NOG|WNT11|FGF1|GDNF","renal tubule morphogenesis","9","ENR","GO:0061333","1.0","2.8455487793526025E-5","Cluster 1","Clustered","107.59969167523124","GO:0061333","false","GO:0061333"
"1","0.9969882372440726",,"0.0030117627559274134",,"SERPINE1|APOH|THBS1|PLG|HRG","negative regulation of vasculature development","5","ENR","GO:1901343","1.0","0.0030117627559274134","Cluster 3","Clustered","48.847440699126096","GO:1901343","false","GO:1901343"
"1","0.9999999998401916",,"1.5980841683492758E-10",,"PGF|SERPINE1|LEP|APOH|VEGFC|VEGFB|CELA1|THBS1|ADAMTS1|PLG|HRG|FGF1|CCL11|COL4A2|CCL24|FGF2|CCBE1|ANGPTL3|WNT5A|SMOC2|TNN|FBLN5|ENPP2","regulation of vasculature development","23","ENR","GO:1901342","1.0","1.5980841683492758E-10","Cluster 2","Clustered","75.11921458625527","GO:1901342","false","GO:1901342"
"1","0.998014446717963",,"0.0019855532820369707",,"ANXA1|SLIT3|LEP|INHBA|ADAMTS1|NOG|FGF9|INHBB|SERPINE2|BMP6|BMP4|PDGFA|BMP5|SFRP1","reproductive system development","14","ENR","GO:0061458","1.0","0.0019855532820369707","Cluster 7","Clustered","69.40438871473354","GO:0061458","false","GO:0061458"
"1","0.9985246164830516",,"0.001475383516948408",,"SLIT3|FGF9|BMP2|CCN1|ADAMTS1|BMP4|NOG|WNT11|BMP5|BMP10","cardiac chamber development","10","ENR","GO:0003205","1.0","0.001475383516948408","Cluster 2","Clustered","87.66859504132232","GO:0003205","false","GO:0003205"
"1","1.0",,"5.642200377283974E-23",,"REG3G|SFRP5|IL17D|SERPINE1|SMOC1|LEP|STC2|APOH|PTH|SERPINF2|TG|CELA1|AZGP1|THBS1|CXCL14|BAG6|NOG|BGLAP2|PLG|HRG|FGF1|GDNF|METRN|GPC1|OLFM1|SEMA3F|FGF9|BMP2|DKK4|BMP6|TNN|CHAD|AGR2|SFRP1|FAM20C|MYOC|ANXA1|SLIT1|REG1|VEGFC|MGP|ADAMTS1|FSTL4|OLFM4|SRPX2|BMP10|TNR|WNT9A|FGF2|SEMA3G|CCBE1|MAPT|CCN1|SERPINE2|BMP4|WNT11|BMP5|WNT5B|LAMA3|APP|COMP|APOB|LAMA5|PGF|PKHD1|INHBA|VEGFB|NGF|CCL11|COL4A2|CCL24|LOX|ANGPTL3|NTN4|WNT5A|NTN1|LTBP3|SMOC2|ANXA2|FBLN5|LAMB2|ENPP2|FSTL3|HAMP|PRL3C1|DKKL1|BTC|WIF1|PDGFB|IL34|MUP20","regulation of developmental process","91","ENR","GO:0050793","1.0","5.642200377283974E-23","Cluster 1","Clustered","104.51803082448002","GO:0050793","false","GO:0050793"
"1","0.9878035583559416",,"0.0121964416440584",,"APOA5|LEP","regulation of intestinal lipid absorption","2","ENR","GO:1904729","1.0","0.0121964416440584","Cluster 5","Clustered","29.28475033738192","GO:1904729","false","GO:1904729"
"1","0.9972367511216236",,"0.0027632488783764296",,"SFRP5|SERPINE1|LEP|APOH|SERPINF2|CELA1|THBS1|NOG|PLG|HRG|FGF1|GDNF|METRN|GPC1|OLFM1|SEMA3F|CCK|FGF9|BMP2|CRYAB|DKK4|MFGE8|BMP6|TNN|FGF21|AGR2|SFRP1|FAM20C|MYOC|ANXA1|SLIT1|SLIT3|REG1|VEGFC|EGFLAM|MMP13|ADAMTS1|FSTL4|OLFM4|SRPX2|BMP10|TNR|FGF5|WNT9A|FGF2|SEMA3G|CCBE1|MAPT|ARG1|EPHB6|CCN1|SERPINE2|BMP4|WNT11|BMP5|WNT5B|LAMA3|APP|COMP|APOB|LAMA5|PGF|PKHD1|INHBA|VEGFB|EDA|HBEGF|NGF|CCL11|COL4A2|CCL24|LOX|CDSN|TULP3|ANGPTL3|WNT5A|NTN1|LTBP3|SMOC2|ANXA2|PDGFC|FBLN5|LAMB2|IFNA9|HPX|BMP3|TIMP4|FSTL3|HAMP|IL17RE|LBP|PRL3C1|RSPO1|LYPD6|DKKL1|CXCL1|OTOL1|PIGR|ADAMTSL2|VWA2|FGB|CCL1|IGFBP4|LTBP4|ENHO|WFIKKN2|INHBB|BTC|WIF1|PDGFA|PDGFB|GPC4|MASP1|IL34|TIMP3|ADGRE5|MUP20|REG3G|IL17D|SMOC1|STC2|PTH|TG|CXCL14|OLFML2A|ADAMTSL4|FBLN2|CCDC80|SAA3|GALP|MUC5B|ALB|KNG1|BPIFA1|ITLN1|SFTPA1|BPIFB1|SMPDL3B|KNG2|LGALS1|GSN|BCHE|NENF|ENPP3|MMP7|CEMIP|SPOCK1|SPACA7|SPARCL1|TEX101|PLA2G5|FBP1|C1QTNF9|APOA5|HTRA4|MUC5AC|TFF3|SECTM1B|SOGA1","regulation of cellular process","159","ENR","GO:0050794","1.0","0.0027632488783764296","Cluster 1","Clustered","104.38088109495295","GO:0050794","false","GO:0050794"
