GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0009653	anatomical structure morphogenesis	4.689378141969762e-24	4.689378141969762e-24	+1	SFRP5,SERPINE1,LEP,APOH,SERPINF2,CELA1,THBS1,ADAMTS5,NOG,PLG,HRG,FGF1,GDNF,METRN,GPC1,OLFM1,SEMA3F,CCK,FGF9,BMP2,CRYAB,DKK4,MFGE8,BMP6,TNN,FGF21,CHAD,AGR2,SFRP1,FAM20C,MYOC,ANXA1,SLIT1,SLIT3,REG1,VEGFC,EGFLAM,MGP,MMP13,ADAMTS1,FSTL4,OLFM4,SRPX2,BMP10,TNR,FGF5,WNT9A,FGF2,SEMA3G,CCBE1,MAPT,ARG1,EPHB6,CCN1,SERPINE2,BMP4,WNT11,BMP5,WNT5B,LAMA3,APP,COMP,APOB,LAMA5,PGF,PKHD1,INHBA,KIRREL3,VEGFB,MATN2,COL15A1,EDA,HBEGF,NGF,LAMB3,CCL11,COL4A2,CCL24,LOX,CDSN,TULP3,ANGPTL3,NTN4,WNT5A,NTN1,LTBP3,SMOC2,ANXA2,PDGFC,FBLN5,LAMB2,CRISPLD2,ENPP2
GO:0007166	cell surface receptor signaling pathway	2.0749149771743852e-23	2.0749149771743852e-23	+1	IFNA9,SFRP5,HPX,SERPINE1,LEP,BMP3,TIMP4,CELA1,THBS1,FSTL3,HAMP,NOG,IL17RE,HRG,FGF1,LBP,GDNF,PRL3C1,GPC1,RSPO1,LYPD6,DKKL1,SEMA3F,FGF9,BMP2,CXCL1,DKK4,OTOL1,PIGR,BMP6,TNN,FGF21,AGR2,SFRP1,FAM20C,MYOC,ADAMTSL2,ANXA1,SLIT3,VWA2,VEGFC,FGB,CCL1,IGFBP4,FSTL4,BMP10,FGF5,LTBP4,WNT9A,ENHO,FGF2,WFIKKN2,SEMA3G,CCBE1,INHBB,ARG1,EPHB6,CCN1,SERPINE2,BMP4,WNT11,BMP5,WNT5B,BTC,LAMA3,APP,WIF1,COMP,LAMA5,PGF,PDGFA,PDGFB,INHBA,VEGFB,GPC4,MASP1,EDA,HBEGF,IL34,NGF,CCL11,COL4A2,CCL24,LOX,TULP3,WNT5A,LTBP3,TIMP3,SMOC2,ADGRE5,PDGFC
GO:0050793	regulation of developmental process	5.642200377283974e-23	5.642200377283974e-23	+1	SFRP5,SERPINE1,LEP,APOH,MUP20,SERPINF2,CELA1,THBS1,FSTL3,HAMP,NOG,PLG,HRG,FGF1,GDNF,PRL3C1,METRN,GPC1,OLFM1,DKKL1,SEMA3F,FGF9,BMP2,DKK4,BMP6,TNN,CHAD,REG3G,AGR2,SFRP1,FAM20C,MYOC,IL17D,ANXA1,SLIT1,SMOC1,STC2,REG1,PTH,VEGFC,MGP,TG,ADAMTS1,FSTL4,OLFM4,SRPX2,BMP10,TNR,AZGP1,WNT9A,FGF2,SEMA3G,CCBE1,MAPT,CCN1,SERPINE2,BMP4,WNT11,BMP5,WNT5B,BTC,LAMA3,APP,WIF1,COMP,APOB,LAMA5,PGF,CXCL14,PKHD1,PDGFB,INHBA,VEGFB,IL34,NGF,CCL11,COL4A2,CCL24,LOX,ANGPTL3,NTN4,WNT5A,NTN1,LTBP3,SMOC2,ANXA2,FBLN5,LAMB2,ENPP2,BAG6,BGLAP2
GO:0030198	extracellular matrix organization	9.597635178915297e-23	9.597635178915297e-23	+1	SERPINF2,ADAMTS5,PLG,ITIH1,BMP2,OTOL1,ADAMTSL2,MMP24,EGFLAM,MMP13,ADAMTS1,TNR,LTBP4,CCN1,MATN3,APP,COMP,MATN2,OLFML2A,COL15A1,THSD4,LAMB3,COL4A2,LOX,NTN4,ADAMTSL4,LTBP3,SMOC2,FBLN2,ANXA2,FBLN5,LAMB2,CCDC80,CRISPLD2
GO:0045229	external encapsulating structure organization	1.0729086238096733e-22	1.0729086238096733e-22	+1	SERPINF2,ADAMTS5,PLG,ITIH1,BMP2,OTOL1,ADAMTSL2,MMP24,EGFLAM,MMP13,ADAMTS1,TNR,LTBP4,CCN1,MATN3,APP,COMP,MATN2,OLFML2A,COL15A1,THSD4,LAMB3,COL4A2,LOX,NTN4,ADAMTSL4,LTBP3,SMOC2,FBLN2,ANXA2,FBLN5,LAMB2,CCDC80,CRISPLD2
GO:0043062	extracellular structure organization	1.1988864361289474e-22	1.1988864361289474e-22	+1	SERPINF2,ADAMTS5,PLG,ITIH1,BMP2,OTOL1,ADAMTSL2,MMP24,EGFLAM,MMP13,ADAMTS1,TNR,LTBP4,CCN1,MATN3,APP,COMP,MATN2,OLFML2A,COL15A1,THSD4,LAMB3,COL4A2,LOX,NTN4,ADAMTSL4,LTBP3,SMOC2,FBLN2,ANXA2,FBLN5,LAMB2,CCDC80,CRISPLD2
GO:0035295	tube development	3.162437591903858e-22	3.162437591903858e-22	+1	SFRP5,SERPINE1,LEP,APOH,SERPINF2,CELA1,THBS1,NOG,PLG,HRG,FGF1,GDNF,FGF9,BMP2,MFGE8,TNN,AGR2,SFRP1,ADAMTSL2,ANXA1,REG1,VEGFC,MGP,ADAMTS1,SRPX2,FGF2,CCBE1,INHBB,ARG1,CCN1,SERPINE2,BMP4,WNT11,BMP5,COMP,APOB,LAMA5,PGF,PKHD1,VEGFB,COL15A1,EDA,HBEGF,CCL11,COL4A2,CCL24,LOX,TULP3,ANGPTL3,WNT5A,NTN1,LTBP3,SMOC2,ANXA2,PDGFC,FBLN5,CRISPLD2,ENPP2,BAG6
GO:0009605	response to external stimulus	9.760479346524252e-22	9.760479346524252e-22	+1	IFNA9,HPX,SERPINE1,LEP,APOH,SAA3,SERPINF2,GALP,THBS1,HAMP,ADAMTS5,NOG,MUC5B,PLG,DEFA5,HRG,FGF1,ALB,KNG1,LBP,JCHAIN,GDNF,LYPD8,PRL3C1,BPIFA1,WFDC9,ITLN1,SEMA3F,CCK,VWCE,SFTPA1,BMP2,CXCL1,GP2,BPIFB1,SMPDL3B,BMP6,REG3G,SFRP1,ANXA1,SLIT1,SLIT3,STC2,REG1,PTH,MMP24,VEGFC,FGB,CCL1,KNG2,WFDC13,TNR,FGF2,SEMA3G,MAPT,INHBB,ARG1,LGALS1,EPHB6,CCN1,SERPINE2,BMP4,WNT11,KLKB1,LAMA3,APP,CFI,APOB,F5,LAMA5,PGF,PDGFA,CXCL14,PDGFB,VEGFB,MATN2,ENDOD1,MASP1,HBEGF,IL34,CCL11,CCL24,LOX,GSN,BCHE,NENF,WNT5A,NTN1,ENPP3,SMOC2,ANXA2,LAMB2,CCDC80,ENPP2,FUCA2,BGLAP2
GO:0016477	cell migration	1.726315405433115e-21	1.726315405433115e-21	+1	SERPINE1,LEP,APOH,SAA3,THBS1,NOG,PLG,HRG,FGF1,LBP,GDNF,GPC1,SEMA3F,CCK,FGF9,BMP2,CXCL1,GP2,TNN,FGF21,SFRP1,MYOC,ANXA1,SLIT1,VEGFC,CCL1,MMP7,ADAMTS1,CEMIP,SRPX2,BMP10,TNR,FGF5,FGF2,SEMA3G,CCBE1,MAPT,CCN1,BMP4,WNT11,WNT5B,LAMA3,APP,LAMA5,PGF,PDGFA,CXCL14,PDGFB,KIRREL3,VEGFB,MATN2,GPC4,HBEGF,IL34,LAMB3,CCL11,CCL24,LOX,ANGPTL3,NTN4,WNT5A,NTN1,SMOC2,PDGFC,LAMB2,ENPP2
GO:0007155	cell adhesion	1.8207139548363035e-21	1.8207139548363035e-21	+1	SERPINE1,LEP,THBS1,FSTL3,MSLN,HAPLN3,PLG,HRG,KNG1,OTOA,BMP2,SPOCK1,MFGE8,BMP6,TNN,AGR2,SFRP1,MYOC,SPACA7,NID2,ANXA1,TECTA,MMP24,VWA2,FGB,EGFLAM,KNG2,OLFM4,SRPX2,BMP10,TNR,AZGP1,ARG1,LGALS1,EPHB6,CCN1,SERPINE2,BMP4,BMP5,LAMA3,APP,COMP,LAMA5,PKHD1,PDGFB,KIRREL3,GPC4,COL15A1,EDA,LAMB3,CDSN,GSN,ANGPTL3,NTN4,PCDH12,WNT5A,NTN1,SMOC2,FBLN2,FBLN5,SPARCL1,LAMB2,CCDC80,ENPP2
